subscriber_id,p_retain_if_treated,p_retain_if_untreated,uplift_score,segment
JIO10035795,0.99930334,0.9991297,0.00017362833,Sure thing / Lost cause
JIO10046324,0.9987356,0.9905144,0.008221209,Sure thing / Lost cause
JIO10051524,0.99891007,0.99929464,-0.00038456917,Sure thing / Lost cause
JIO10023717,0.98235965,0.964419,0.01794064,Sure thing / Lost cause
JIO10007272,0.9998216,0.99944097,0.00038063526,Sure thing / Lost cause
JIO10009556,0.9979371,0.9925882,0.005348861,Sure thing / Lost cause
JIO10038137,0.9972276,0.9993956,-0.0021679997,Sure thing / Lost cause
JIO10011040,0.9917497,0.985979,0.0057706833,Sure thing / Lost cause
JIO10053792,0.9997627,0.9996536,0.000109136105,Sure thing / Lost cause
JIO10042863,0.8991811,0.1519741,0.74720705,Persuadable
JIO10058804,0.14017516,0.50998497,-0.3698098,Sleeping dog (do not disturb)
JIO10032566,0.99961156,0.9997429,-0.00013136864,Sure thing / Lost cause
JIO10057825,0.97974193,0.9992065,-0.019464552,Sure thing / Lost cause
JIO10012987,0.99982905,0.99868554,0.0011435151,Sure thing / Lost cause
JIO10027721,0.9931417,0.9849967,0.008145034,Sure thing / Lost cause
JIO10009298,0.9998884,0.99741757,0.002470851,Sure thing / Lost cause
JIO10015566,0.9961029,0.9963967,-0.0002937913,Sure thing / Lost cause
JIO10055315,0.99983704,0.9992786,0.0005584359,Sure thing / Lost cause
JIO10002721,0.9991817,0.9864717,0.012709975,Sure thing / Lost cause
JIO10020840,0.999997,0.99972147,0.00027555227,Sure thing / Lost cause
JIO10063035,0.99965954,0.9983504,0.0013091564,Sure thing / Lost cause
JIO10061255,0.9998317,0.9993279,0.00050377846,Sure thing / Lost cause
JIO10029749,0.96149147,0.90333587,0.058155596,Persuadable
JIO10004008,0.99708086,0.99872404,-0.0016431808,Sure thing / Lost cause
JIO10049890,0.9999883,0.9999789,9.417534e-06,Sure thing / Lost cause
JIO10042957,0.9932903,0.9995701,-0.0062797666,Sure thing / Lost cause
JIO10058848,0.9991216,0.99732286,0.001798749,Sure thing / Lost cause
JIO10061095,0.9999901,0.9999931,-2.9802322e-06,Sure thing / Lost cause
JIO10013871,0.99816763,0.9881291,0.010038555,Sure thing / Lost cause
JIO10058131,0.999097,0.9927336,0.006363392,Sure thing / Lost cause
JIO10038875,0.2776001,0.683882,-0.4062819,Sleeping dog (do not disturb)
JIO10060872,0.9903895,0.9805002,0.009889305,Sure thing / Lost cause
JIO10064419,0.9829978,0.9992455,-0.01624775,Sure thing / Lost cause
JIO10060859,0.9996345,0.9995266,0.00010788441,Sure thing / Lost cause
JIO10002167,0.99974793,0.99771947,0.0020284653,Sure thing / Lost cause
JIO10014164,0.99928826,0.9978283,0.0014599562,Sure thing / Lost cause
JIO10048601,0.99978906,0.9988532,0.0009358525,Sure thing / Lost cause
JIO10031294,0.9418762,0.7831345,0.15874165,Persuadable
JIO10043179,0.99796164,0.9984487,-0.00048708916,Sure thing / Lost cause
JIO10057861,0.9963636,0.99696225,-0.00059866905,Sure thing / Lost cause
JIO10058653,0.9988955,0.9927691,0.006126404,Sure thing / Lost cause
JIO10058173,0.23366919,0.989131,-0.7554618,Sleeping dog (do not disturb)
JIO10015598,0.9990206,0.9964987,0.0025218725,Sure thing / Lost cause
JIO10058898,0.996992,0.9164296,0.08056241,Persuadable
JIO10019774,0.29807255,0.9887735,-0.690701,Sleeping dog (do not disturb)
JIO10017485,0.9994091,0.9989318,0.0004772544,Sure thing / Lost cause
JIO10050985,0.99998546,0.9984732,0.0015122294,Sure thing / Lost cause
JIO10010816,0.9779515,0.91148144,0.06647009,Persuadable
JIO10020408,0.99968994,0.99971825,-2.8312206e-05,Sure thing / Lost cause
JIO10034310,0.99949634,0.9920873,0.007409036,Sure thing / Lost cause
JIO10022410,0.9881456,0.75500304,0.23314255,Persuadable
JIO10040422,0.5078865,0.9857209,-0.47783434,Sleeping dog (do not disturb)
JIO10052961,0.99729735,0.99086654,0.0064308047,Sure thing / Lost cause
JIO10058639,0.99986863,0.999196,0.0006726384,Sure thing / Lost cause
JIO10014577,0.9996985,0.99969923,-7.1525574e-07,Sure thing / Lost cause
JIO10050857,0.18088712,0.059800662,0.121086456,Persuadable
JIO10037725,0.99999595,0.9998908,0.00010514259,Sure thing / Lost cause
JIO10052729,0.96626973,0.98993075,-0.023661017,Sleeping dog (do not disturb)
JIO10042545,0.99513334,0.99979466,-0.0046613216,Sure thing / Lost cause
JIO10016697,0.98593056,0.99298275,-0.007052183,Sure thing / Lost cause
JIO10051041,0.99823076,0.98808914,0.010141611,Sure thing / Lost cause
JIO10051975,0.99726796,0.9774795,0.019788444,Sure thing / Lost cause
JIO10045193,0.9986675,0.99965763,-0.0009901524,Sure thing / Lost cause
JIO10034248,0.99980205,0.99912685,0.0006752014,Sure thing / Lost cause
JIO10059869,0.9998011,0.9714812,0.028319895,Sure thing / Lost cause
JIO10026598,0.99927443,0.998858,0.00041645765,Sure thing / Lost cause
JIO10003322,0.9974921,0.9974406,5.1498413e-05,Sure thing / Lost cause
JIO10053842,0.9983646,0.99555004,0.002814591,Sure thing / Lost cause
JIO10012505,0.9998338,0.99741083,0.0024229884,Sure thing / Lost cause
JIO10062021,0.9988225,0.99864215,0.00018036366,Sure thing / Lost cause
JIO10035971,0.9998981,0.9974094,0.0024886727,Sure thing / Lost cause
JIO10036237,0.99993336,0.9993549,0.0005784631,Sure thing / Lost cause
JIO10033322,0.9724678,0.85335505,0.11911273,Persuadable
JIO10011575,0.99919456,0.99962115,-0.00042659044,Sure thing / Lost cause
JIO10003727,0.9968934,0.9873023,0.009591103,Sure thing / Lost cause
JIO10039608,0.9999926,0.99991286,7.9751015e-05,Sure thing / Lost cause
JIO10013153,0.99993956,0.99829155,0.0016480088,Sure thing / Lost cause
JIO10048569,0.9543192,0.9408432,0.0134759545,Sure thing / Lost cause
JIO10061896,0.9951035,0.9632187,0.03188479,Sure thing / Lost cause
JIO10058656,0.9632903,0.97256976,-0.0092794895,Sure thing / Lost cause
JIO10017586,0.9838186,0.99235743,-0.008538842,Sure thing / Lost cause
JIO10049007,0.9999901,0.99931955,0.00067055225,Sure thing / Lost cause
JIO10058398,0.99514115,0.98165005,0.013491094,Sure thing / Lost cause
JIO10003733,0.9999833,0.9989384,0.001044929,Sure thing / Lost cause
JIO10032417,0.98475015,0.9970892,-0.012339056,Sure thing / Lost cause
JIO10056278,0.9980241,0.94041234,0.057611763,Persuadable
JIO10047070,0.9979588,0.9964085,0.0015502572,Sure thing / Lost cause
JIO10045775,0.9999988,0.99992716,7.164478e-05,Sure thing / Lost cause
JIO10058194,0.98748904,0.95854884,0.0289402,Sure thing / Lost cause
JIO10004508,0.99916685,0.9994978,-0.000330925,Sure thing / Lost cause
JIO10004316,0.9751356,0.97922075,-0.0040851235,Sure thing / Lost cause
JIO10006635,0.9995907,0.9881275,0.011463165,Sure thing / Lost cause
JIO10030310,0.99936026,0.999838,-0.00047773123,Sure thing / Lost cause
JIO10037169,0.9521691,0.9358694,0.016299725,Sure thing / Lost cause
JIO10058807,0.9993487,0.9816203,0.017728388,Sure thing / Lost cause
JIO10049221,0.80506176,0.7025468,0.10251498,Persuadable
JIO10003813,0.9957247,0.99384487,0.0018798113,Sure thing / Lost cause
JIO10028942,0.9831147,0.7085881,0.2745266,Persuadable
JIO10010415,0.9999708,0.9989441,0.00102669,Sure thing / Lost cause
JIO10009086,0.9970305,0.9313709,0.06565958,Persuadable
JIO10023226,0.9315075,0.6686274,0.26288015,Persuadable
JIO10034417,0.99969923,0.9974511,0.0022481084,Sure thing / Lost cause
JIO10020564,0.9999974,0.99977344,0.00022393465,Sure thing / Lost cause
JIO10058725,0.99985015,0.9998036,4.6551228e-05,Sure thing / Lost cause
JIO10024084,0.99626654,0.99933666,-0.003070116,Sure thing / Lost cause
JIO10000172,0.9888993,0.98595726,0.0029420257,Sure thing / Lost cause
JIO10042234,0.95156956,0.8364161,0.11515343,Persuadable
JIO10042027,0.9998349,0.99957985,0.00025504827,Sure thing / Lost cause
