cohort_month,cohort_customers,month_number,retained_customers,retention_pct
2021-03,94,15,79,84.04
2021-03,94,16,85,90.43
2021-03,94,17,80,85.11
2021-03,94,18,72,76.60
2021-03,94,19,63,67.02
2021-03,94,20,65,69.15
2021-03,94,21,78,82.98
2021-03,94,22,86,91.49
2021-03,94,23,80,85.11
2021-03,94,24,66,70.21
2021-03,94,25,74,78.72
2021-03,94,26,79,84.04
2021-03,94,27,84,89.36
2021-03,94,28,80,85.11
2021-03,94,29,77,81.91
2021-03,94,30,72,76.60
2021-03,94,31,66,70.21
2021-03,94,32,69,73.40
2021-03,94,33,71,75.53
2021-03,94,34,87,92.55
2021-03,94,35,81,86.17
2021-03,94,36,69,73.40
2021-03,94,37,67,71.28
2021-03,94,38,80,85.11
2021-03,94,39,78,82.98
2021-03,94,40,74,78.72
2021-03,94,41,76,80.85
2021-03,94,42,65,69.15
2021-03,94,43,70,74.47
2021-03,94,44,60,63.83
2021-03,94,45,78,82.98
2021-03,94,46,84,89.36
2021-03,94,47,80,85.11
2021-03,94,48,80,85.11
2021-03,94,49,73,77.66
2021-03,94,50,84,89.36
2021-03,94,51,82,87.23
2021-03,94,52,73,77.66
2021-03,94,53,74,78.72
2021-03,94,54,64,68.09
2021-03,94,55,64,68.09
2021-04,85,0,66,77.65
2021-04,85,1,76,89.41
2021-04,85,2,71,83.53
2021-04,85,3,68,80.00
2021-04,85,4,70,82.35
2021-04,85,5,63,74.12
2021-04,85,6,54,63.53
2021-04,85,7,56,65.88
2021-04,85,8,66,77.65
2021-04,85,9,77,90.59
2021-04,85,10,69,81.18
2021-04,85,11,57,67.06
2021-04,85,12,71,83.53
2021-04,85,13,71,83.53
2021-04,85,14,66,77.65
2021-04,85,15,65,76.47
2021-04,85,16,71,83.53
2021-04,85,17,61,71.76
2021-04,85,18,62,72.94
2021-04,85,19,63,74.12
2021-04,85,20,75,88.24
2021-04,85,21,78,91.76
2021-04,85,22,70,82.35
2021-04,85,23,59,69.41
2021-04,85,24,76,89.41
2021-04,85,25,73,85.88
2021-04,85,26,70,82.35
2021-04,85,27,69,81.18
2021-04,85,28,61,71.76
2021-04,85,29,55,64.71
2021-04,85,30,62,72.94
2021-04,85,31,62,72.94
2021-04,85,32,65,76.47
2021-04,85,33,79,92.94
2021-04,85,34,75,88.24
2021-04,85,35,66,77.65
2021-04,85,36,72,84.71
2021-04,85,37,76,89.41
2021-04,85,38,70,82.35
2021-04,85,39,67,78.82
2021-04,85,40,67,78.82
2021-04,85,41,56,65.88
2021-04,85,42,59,69.41
2021-04,85,43,58,68.24
2021-04,85,44,73,85.88
2021-04,85,45,79,92.94
2021-04,85,46,76,89.41
2021-04,85,47,71,83.53
2021-04,85,48,58,68.24
2021-04,85,49,75,88.24
2021-04,85,50,66,77.65
2021-04,85,51,66,77.65
2021-04,85,52,78,91.76
2021-04,85,53,57,67.06
2021-04,85,54,51,60.00
2021-05,82,0,70,85.37
2021-05,82,1,67,81.71
2021-05,82,2,66,80.49
2021-05,82,3,67,81.71
2021-05,82,4,59,71.95
2021-05,82,5,57,69.51
2021-05,82,6,54,65.85
2021-05,82,7,59,71.95
2021-05,82,8,75,91.46
2021-05,82,9,74,90.24
2021-05,82,10,47,57.32
2021-05,82,11,73,89.02
2021-05,82,12,74,90.24
2021-05,82,13,72,87.80
2021-05,82,14,66,80.49
2021-05,82,15,68,82.93
2021-05,82,16,57,69.51
2021-05,82,17,60,73.17
2021-05,82,18,61,74.39
2021-05,82,19,66,80.49
2021-05,82,20,69,84.15
2021-05,82,21,68,82.93
2021-05,82,22,65,79.27
2021-05,82,23,69,84.15
2021-05,82,24,65,79.27
2021-05,82,25,68,82.93
2021-05,82,26,68,82.93
2021-05,82,27,63,76.83
2021-05,82,28,64,78.05
2021-05,82,29,51,62.20
2021-05,82,30,52,63.41
2021-05,82,31,64,78.05
2021-05,82,32,73,89.02
2021-05,82,33,77,93.90
2021-05,82,34,68,82.93
2021-05,82,35,68,82.93
2021-05,82,36,66,80.49
2021-05,82,37,69,84.15
2021-05,82,38,73,89.02
2021-05,82,39,57,69.51
2021-05,82,40,58,70.73
2021-05,82,41,59,71.95
2021-05,82,42,60,73.17
2021-05,82,43,67,81.71
2021-05,82,44,76,92.68
2021-05,82,45,68,82.93
2021-05,82,46,72,87.80
2021-05,82,47,61,74.39
2021-05,82,48,71,86.59
2021-05,82,49,70,85.37
2021-05,82,50,68,82.93
2021-05,82,51,69,84.15
2021-05,82,52,53,64.63
2021-05,82,53,53,64.63
2021-06,96,0,77,80.21
2021-06,96,1,78,81.25
2021-06,96,2,80,83.33
2021-06,96,3,70,72.92
2021-06,96,4,67,69.79
2021-06,96,5,73,76.04
2021-06,96,6,79,82.29
2021-06,96,7,90,93.75
2021-06,96,8,80,83.33
2021-06,96,9,71,73.96
2021-06,96,10,74,77.08
2021-06,96,11,76,79.17
2021-06,96,12,78,81.25
2021-06,96,13,83,86.46
2021-06,96,14,79,82.29
2021-06,96,15,73,76.04
2021-06,96,16,71,73.96
2021-06,96,17,73,76.04
2021-06,96,18,75,78.13
2021-06,96,19,85,88.54
2021-06,96,20,79,82.29
2021-06,96,21,70,72.92
2021-06,96,22,81,84.38
2021-06,96,23,85,88.54
2021-06,96,24,77,80.21
2021-06,96,25,72,75.00
2021-06,96,26,81,84.38
2021-06,96,27,68,70.83
2021-06,96,28,64,66.67
2021-06,96,29,69,71.88
2021-06,96,30,84,87.50
2021-06,96,31,87,90.63
2021-06,96,32,83,86.46
2021-06,96,33,71,73.96
2021-06,96,34,71,73.96
2021-06,96,35,84,87.50
2021-06,96,36,82,85.42
2021-06,96,37,83,86.46
2021-06,96,38,84,87.50
2021-06,96,39,70,72.92
2021-06,96,40,69,71.88
2021-06,96,41,71,73.96
2021-06,96,42,74,77.08
2021-06,96,43,85,88.54
2021-06,96,44,86,89.58
2021-06,96,45,81,84.38
2021-06,96,46,64,66.67
2021-06,96,47,81,84.38
2021-06,96,48,86,89.58
2021-06,96,49,77,80.21
2021-06,96,50,79,82.29
2021-06,96,51,64,66.67
2021-06,96,52,65,67.71
2021-07,98,0,86,87.76
2021-07,98,1,77,78.57
2021-07,98,2,65,66.33
2021-07,98,3,69,70.41
2021-07,98,4,74,75.51
2021-07,98,5,81,82.65
2021-07,98,6,85,86.73
2021-07,98,7,91,92.86
2021-07,98,8,62,63.27
2021-07,98,9,87,88.78
2021-07,98,10,79,80.61
2021-07,98,11,79,80.61
2021-07,98,12,82,83.67
2021-07,98,13,84,85.71
2021-07,98,14,71,72.45
2021-07,98,15,78,79.59
2021-07,98,16,66,67.35
2021-07,98,17,75,76.53
2021-07,98,18,91,92.86
2021-07,98,19,80,81.63
2021-07,98,20,61,62.24
2021-07,98,21,85,86.73
2021-07,98,22,83,84.69
2021-07,98,23,84,85.71
2021-07,98,24,81,82.65
2021-07,98,25,80,81.63
2021-07,98,26,65,66.33
2021-07,98,27,79,80.61
2021-07,98,28,68,69.39
2021-07,98,29,84,85.71
2021-07,98,30,87,88.78
2021-07,98,31,89,90.82
2021-07,98,32,79,80.61
2021-07,98,33,76,77.55
2021-07,98,34,82,83.67
2021-07,98,35,79,80.61
2021-07,98,36,81,82.65
2021-07,98,37,83,84.69
2021-07,98,38,64,65.31
2021-07,98,39,77,78.57
2021-07,98,40,69,70.41
2021-07,98,41,75,76.53
2021-07,98,42,91,92.86
2021-07,98,43,83,84.69
2021-07,98,44,80,81.63
2021-07,98,45,76,77.55
2021-07,98,46,86,87.76
2021-07,98,47,84,85.71
2021-07,98,48,78,79.59
2021-07,98,49,77,78.57
2021-07,98,50,67,68.37
2021-07,98,51,73,74.49
2021-08,97,0,78,80.41
2021-08,97,1,61,62.89
2021-08,97,2,62,63.92
2021-08,97,3,62,63.92
2021-08,97,4,77,79.38
2021-08,97,5,91,93.81
2021-08,97,6,82,84.54
2021-08,97,7,77,79.38
2021-08,97,8,77,79.38
2021-08,97,9,79,81.44
2021-08,97,10,70,72.16
2021-08,97,11,83,85.57
2021-08,97,12,85,87.63
2021-08,97,13,61,62.89
2021-08,97,14,65,67.01
2021-08,97,15,74,76.29
2021-08,97,16,85,87.63
2021-08,97,17,84,86.60
2021-08,97,18,85,87.63
2021-08,97,19,67,69.07
2021-08,97,20,75,77.32
2021-08,97,21,80,82.47
2021-08,97,22,77,79.38
2021-08,97,23,82,84.54
2021-08,97,24,81,83.51
2021-08,97,25,73,75.26
2021-08,97,26,73,75.26
2021-08,97,27,67,69.07
2021-08,97,28,76,78.35
2021-08,97,29,87,89.69
2021-08,97,30,83,85.57
2021-08,97,31,77,79.38
2021-08,97,32,67,69.07
2021-08,97,33,85,87.63
2021-08,97,34,83,85.57
2021-08,97,35,79,81.44
2021-08,97,36,77,79.38
2021-08,97,37,72,74.23
2021-08,97,38,72,74.23
2021-08,97,39,69,71.13
2021-08,97,40,72,74.23
2021-08,97,41,90,92.78
2021-08,97,42,87,89.69
2021-08,97,43,88,90.72
2021-08,97,44,69,71.13
2021-08,97,45,87,89.69
2021-08,97,46,74,76.29
2021-08,97,47,79,81.44
2021-08,97,48,72,74.23
2021-08,97,49,71,73.20
2021-08,97,50,69,71.13
2021-09,86,0,50,58.14
2021-09,86,1,58,67.44
2021-09,86,2,60,69.77
2021-09,86,3,64,74.42
2021-09,86,4,76,88.37
2021-09,86,5,79,91.86
2021-09,86,6,60,69.77
2021-09,86,7,72,83.72
2021-09,86,8,71,82.56
2021-09,86,9,68,79.07
2021-09,86,10,77,89.53
2021-09,86,11,71,82.56
2021-09,86,12,60,69.77
2021-09,86,13,61,70.93
2021-09,86,14,64,74.42
2021-09,86,15,73,84.88
2021-09,86,16,78,90.70
2021-09,86,17,71,82.56
2021-09,86,18,66,76.74
2021-09,86,19,77,89.53
2021-09,86,20,72,83.72
2021-09,86,21,69,80.23
2021-09,86,22,66,76.74
2021-09,86,23,66,76.74
2021-09,86,24,48,55.81
2021-09,86,25,67,77.91
2021-09,86,26,60,69.77
2021-09,86,27,64,74.42
2021-09,86,28,77,89.53
2021-09,86,29,79,91.86
2021-09,86,30,74,86.05
2021-09,86,31,66,76.74
2021-09,86,32,77,89.53
2021-09,86,33,74,86.05
2021-09,86,34,64,74.42
2021-09,86,35,69,80.23
2021-09,86,36,53,61.63
2021-09,86,37,66,76.74
2021-09,86,38,66,76.74
2021-09,86,39,68,79.07
2021-09,86,40,78,90.70
2021-09,86,41,73,84.88
2021-09,86,42,80,93.02
2021-09,86,43,58,67.44
2021-09,86,44,71,82.56
2021-09,86,45,72,83.72
2021-09,86,46,78,90.70
2021-09,86,47,71,82.56
2021-09,86,48,65,75.58
2021-09,86,49,61,70.93
2021-10,85,0,68,80.00
2021-10,85,1,56,65.88
2021-10,85,2,67,78.82
2021-10,85,3,75,88.24
2021-10,85,4,74,87.06
2021-10,85,5,62,72.94
2021-10,85,6,68,80.00
2021-10,85,7,71,83.53
2021-10,85,8,68,80.00
2021-10,85,9,66,77.65
2021-10,85,10,71,83.53
2021-10,85,11,60,70.59
2021-10,85,12,64,75.29
2021-10,85,13,54,63.53
2021-10,85,14,67,78.82
2021-10,85,15,81,95.29
2021-10,85,16,76,89.41
2021-10,85,17,61,71.76
2021-10,85,18,71,83.53
2021-10,85,19,73,85.88
2021-10,85,20,74,87.06
2021-10,85,21,70,82.35
2021-10,85,22,62,72.94
2021-10,85,23,52,61.18
2021-10,85,24,60,70.59
2021-10,85,25,59,69.41
2021-10,85,26,69,81.18
2021-10,85,27,76,89.41
2021-10,85,28,73,85.88
2021-10,85,29,68,80.00
2021-10,85,30,67,78.82
2021-10,85,31,69,81.18
2021-10,85,32,73,85.88
2021-10,85,33,75,88.24
2021-10,85,34,69,81.18
2021-10,85,35,56,65.88
2021-10,85,36,67,78.82
2021-10,85,37,61,71.76
2021-10,85,38,72,84.71
2021-10,85,39,75,88.24
2021-10,85,40,75,88.24
2021-10,85,41,72,84.71
2021-10,85,42,64,75.29
2021-10,85,43,68,80.00
2021-10,85,44,70,82.35
2021-10,85,45,68,80.00
2021-10,85,46,74,87.06
2021-10,85,47,54,63.53
2021-10,85,48,59,69.41
2021-11,102,0,76,74.51
2021-11,102,1,80,78.43
2021-11,102,2,90,88.24
2021-11,102,3,92,90.20
2021-11,102,4,72,70.59
2021-11,102,5,86,84.31
2021-11,102,6,92,90.20
2021-11,102,7,80,78.43
2021-11,102,8,83,81.37
2021-11,102,9,87,85.29
2021-11,102,10,70,68.63
2021-11,102,11,76,74.51
2021-11,102,12,65,63.73
2021-11,102,13,87,85.29
2021-11,102,14,89,87.25
2021-11,102,15,81,79.41
2021-11,102,16,84,82.35
2021-11,102,17,82,80.39
2021-11,102,18,88,86.27
2021-11,102,19,88,86.27
2021-11,102,20,89,87.25
2021-11,102,21,83,81.37
2021-11,102,22,62,60.78
2021-11,102,23,75,73.53
2021-11,102,24,77,75.49
2021-11,102,25,86,84.31
2021-11,102,26,93,91.18
2021-11,102,27,85,83.33
2021-11,102,28,80,78.43
2021-11,102,29,82,80.39
2021-11,102,30,83,81.37
2021-11,102,31,85,83.33
2021-11,102,32,87,85.29
2021-11,102,33,81,79.41
2021-11,102,34,56,54.90
2021-11,102,35,85,83.33
2021-11,102,36,74,72.55
2021-11,102,37,80,78.43
2021-11,102,38,92,90.20
2021-11,102,39,82,80.39
2021-11,102,40,88,86.27
2021-11,102,41,81,79.41
2021-11,102,42,80,78.43
2021-11,102,43,84,82.35
2021-11,102,44,77,75.49
2021-11,102,45,84,82.35
2021-11,102,46,73,71.57
2021-11,102,47,71,69.61
2021-12,87,0,68,78.16
2021-12,87,1,77,88.51
2021-12,87,2,76,87.36
2021-12,87,3,56,64.37
2021-12,87,4,74,85.06
2021-12,87,5,71,81.61
2021-12,87,6,67,77.01
2021-12,87,7,70,80.46
2021-12,87,8,72,82.76
2021-12,87,9,70,80.46
2021-12,87,10,67,77.01
2021-12,87,11,67,77.01
2021-12,87,12,79,90.80
2021-12,87,13,80,91.95
2021-12,87,14,80,91.95
2021-12,87,15,57,65.52
2021-12,87,16,75,86.21
2021-12,87,17,67,77.01
2021-12,87,18,69,79.31
2021-12,87,19,70,80.46
2021-12,87,20,78,89.66
2021-12,87,21,51,58.62
2021-12,87,22,63,72.41
2021-12,87,23,59,67.82
2021-12,87,24,68,78.16
2021-12,87,25,81,93.10
2021-12,87,26,72,82.76
2021-12,87,27,66,75.86
2021-12,87,28,64,73.56
2021-12,87,29,71,81.61
2021-12,87,30,74,85.06
2021-12,87,31,72,82.76
2021-12,87,32,73,83.91
2021-12,87,33,63,72.41
2021-12,87,34,56,64.37
2021-12,87,35,63,72.41
2021-12,87,36,67,77.01
2021-12,87,37,77,88.51
2021-12,87,38,77,88.51
2021-12,87,39,79,90.80
2021-12,87,40,55,63.22
2021-12,87,41,73,83.91
2021-12,87,42,77,88.51
2021-12,87,43,66,75.86
2021-12,87,44,70,80.46
2021-12,87,45,51,58.62
2021-12,87,46,63,72.41
2022-01,84,0,70,83.33
2022-01,84,1,69,82.14
2022-01,84,2,56,66.67
2022-01,84,3,73,86.90
2022-01,84,4,70,83.33
2022-01,84,5,67,79.76
2022-01,84,6,68,80.95
2022-01,84,7,72,85.71
2022-01,84,8,60,71.43
2022-01,84,9,65,77.38
2022-01,84,10,64,76.19
2022-01,84,11,74,88.10
2022-01,84,12,76,90.48
2022-01,84,13,75,89.29
2022-01,84,14,62,73.81
2022-01,84,15,69,82.14
2022-01,84,16,71,84.52
2022-01,84,17,61,72.62
2022-01,84,18,70,83.33
2022-01,84,19,63,75.00
2022-01,84,20,54,64.29
2022-01,84,21,65,77.38
2022-01,84,22,56,66.67
2022-01,84,23,72,85.71
2022-01,84,24,71,84.52
2022-01,84,25,71,84.52
2022-01,84,26,59,70.24
2022-01,84,27,64,76.19
2022-01,84,28,76,90.48
2022-01,84,29,67,79.76
2022-01,84,30,68,80.95
2022-01,84,31,69,82.14
2022-01,84,32,56,66.67
2022-01,84,33,67,79.76
2022-01,84,34,62,73.81
2022-01,84,35,69,82.14
2022-01,84,36,79,94.05
2022-01,84,37,70,83.33
2022-01,84,38,73,86.90
2022-01,84,39,59,70.24
2022-01,84,40,69,82.14
2022-01,84,41,79,94.05
2022-01,84,42,73,86.90
2022-01,84,43,67,79.76
2022-01,84,44,52,61.90
2022-01,84,45,65,77.38
2022-02,82,0,67,81.71
2022-02,82,1,53,64.63
2022-02,82,2,71,86.59
2022-02,82,3,75,91.46
2022-02,82,4,65,79.27
2022-02,82,5,68,82.93
2022-02,82,6,68,82.93
2022-02,82,7,62,75.61
2022-02,82,8,61,74.39
2022-02,82,9,58,70.73
2022-02,82,10,68,82.93
2022-02,82,11,75,91.46
2022-02,82,12,77,93.90
2022-02,82,13,60,73.17
2022-02,82,14,70,85.37
2022-02,82,15,74,90.24
2022-02,82,16,71,86.59
2022-02,82,17,62,75.61
2022-02,82,18,66,80.49
2022-02,82,19,56,68.29
2022-02,82,20,60,73.17
2022-02,82,21,55,67.07
2022-02,82,22,64,78.05
2022-02,82,23,74,90.24
2022-02,82,24,75,91.46
2022-02,82,25,71,86.59
2022-02,82,26,65,79.27
2022-02,82,27,75,91.46
2022-02,82,28,66,80.49
2022-02,82,29,61,74.39
2022-02,82,30,66,80.49
2022-02,82,31,53,64.63
2022-02,82,32,58,70.73
2022-02,82,33,63,76.83
2022-02,82,34,64,78.05
2022-02,82,35,74,90.24
2022-02,82,36,70,85.37
2022-02,82,37,75,91.46
2022-02,82,38,53,64.63
2022-02,82,39,70,85.37
2022-02,82,40,70,85.37
2022-02,82,41,61,74.39
2022-02,82,42,67,81.71
2022-02,82,43,56,68.29
2022-02,82,44,64,78.05
2022-03,91,0,64,70.33
2022-03,91,1,80,87.91
2022-03,91,2,76,83.52
2022-03,91,3,71,78.02
2022-03,91,4,75,82.42
2022-03,91,5,75,82.42
2022-03,91,6,69,75.82
2022-03,91,7,63,69.23
2022-03,91,8,68,74.73
2022-03,91,9,76,83.52
2022-03,91,10,81,89.01
2022-03,91,11,80,87.91
2022-03,91,12,73,80.22
2022-03,91,13,73,80.22
2022-03,91,14,76,83.52
2022-03,91,15,66,72.53
2022-03,91,16,75,82.42
2022-03,91,17,71,78.02
2022-03,91,18,67,73.63
2022-03,91,19,67,73.63
2022-03,91,20,58,63.74
2022-03,91,21,79,86.81
2022-03,91,22,80,87.91
2022-03,91,23,79,86.81
2022-03,91,24,67,73.63
2022-03,91,25,82,90.11
2022-03,91,26,79,86.81
2022-03,91,27,69,75.82
2022-03,91,28,78,85.71
2022-03,91,29,77,84.62
2022-03,91,30,65,71.43
2022-03,91,31,72,79.12
2022-03,91,32,61,67.03
2022-03,91,33,73,80.22
2022-03,91,34,86,94.51
2022-03,91,35,77,84.62
2022-03,91,36,79,86.81
2022-03,91,37,66,72.53
2022-03,91,38,77,84.62
2022-03,91,39,74,81.32
2022-03,91,40,70,76.92
2022-03,91,41,77,84.62
2022-03,91,42,59,64.84
2022-03,91,43,64,70.33
2022-04,74,0,63,85.14
2022-04,74,1,60,81.08
2022-04,74,2,58,78.38
2022-04,74,3,52,70.27
2022-04,74,4,60,81.08
2022-04,74,5,51,68.92
2022-04,74,6,52,70.27
2022-04,74,7,53,71.62
2022-04,74,8,61,82.43
2022-04,74,9,67,90.54
2022-04,74,10,60,81.08
2022-04,74,11,59,79.73
2022-04,74,12,64,86.49
2022-04,74,13,61,82.43
2022-04,74,14,58,78.38
2022-04,74,15,56,75.68
2022-04,74,16,57,77.03
2022-04,74,17,47,63.51
2022-04,74,18,55,74.32
2022-04,74,19,55,74.32
2022-04,74,20,58,78.38
2022-04,74,21,71,95.95
2022-04,74,22,64,86.49
2022-04,74,23,63,85.14
2022-04,74,24,61,82.43
2022-04,74,25,59,79.73
2022-04,74,26,52,70.27
2022-04,74,27,58,78.38
2022-04,74,28,62,83.78
2022-04,74,29,52,70.27
2022-04,74,30,54,72.97
2022-04,74,31,49,66.22
2022-04,74,32,55,74.32
2022-04,74,33,68,91.89
2022-04,74,34,62,83.78
2022-04,74,35,62,83.78
2022-04,74,36,54,72.97
2022-04,74,37,59,79.73
2022-04,74,38,59,79.73
2022-04,74,39,59,79.73
2022-04,74,40,66,89.19
2022-04,74,41,49,66.22
2022-04,74,42,51,68.92
2022-05,86,0,73,84.88
2022-05,86,1,64,74.42
2022-05,86,2,71,82.56
2022-05,86,3,71,82.56
2022-05,86,4,63,73.26
2022-05,86,5,61,70.93
2022-05,86,6,61,70.93
2022-05,86,7,70,81.40
2022-05,86,8,76,88.37
2022-05,86,9,71,82.56
2022-05,86,10,65,75.58
2022-05,86,11,73,84.88
2022-05,86,12,67,77.91
2022-05,86,13,68,79.07
2022-05,86,14,63,73.26
2022-05,86,15,64,74.42
2022-05,86,16,56,65.12
2022-05,86,17,59,68.60
2022-05,86,18,65,75.58
2022-05,86,19,71,82.56
2022-05,86,20,77,89.53
2022-05,86,21,71,82.56
2022-05,86,22,69,80.23
2022-05,86,23,69,80.23
2022-05,86,24,76,88.37
2022-05,86,25,69,80.23
2022-05,86,26,67,77.91
2022-05,86,27,76,88.37
2022-05,86,28,64,74.42
2022-05,86,29,69,80.23
2022-05,86,30,61,70.93
2022-05,86,31,76,88.37
2022-05,86,32,79,91.86
2022-05,86,33,74,86.05
2022-05,86,34,73,84.88
2022-05,86,35,49,56.98
2022-05,86,36,68,79.07
2022-05,86,37,75,87.21
2022-05,86,38,67,77.91
2022-05,86,39,65,75.58
2022-05,86,40,54,62.79
2022-05,86,41,60,69.77
2022-06,99,0,83,83.84
2022-06,99,1,88,88.89
2022-06,99,2,85,85.86
2022-06,99,3,69,69.70
2022-06,99,4,72,72.73
2022-06,99,5,70,70.71
2022-06,99,6,85,85.86
2022-06,99,7,84,84.85
2022-06,99,8,91,91.92
2022-06,99,9,70,70.71
2022-06,99,10,84,84.85
2022-06,99,11,83,83.84
2022-06,99,12,77,77.78
2022-06,99,13,83,83.84
2022-06,99,14,75,75.76
2022-06,99,15,69,69.70
2022-06,99,16,73,73.74
2022-06,99,17,62,62.63
2022-06,99,18,87,87.88
2022-06,99,19,91,91.92
2022-06,99,20,82,82.83
2022-06,99,21,84,84.85
2022-06,99,22,79,79.80
2022-06,99,23,80,80.81
2022-06,99,24,80,80.81
2022-06,99,25,79,79.80
2022-06,99,26,80,80.81
2022-06,99,27,64,64.65
2022-06,99,28,77,77.78
2022-06,99,29,75,75.76
2022-06,99,30,75,75.76
2022-06,99,31,88,88.89
2022-06,99,32,87,87.88
2022-06,99,33,84,84.85
2022-06,99,34,70,70.71
2022-06,99,35,82,82.83
2022-06,99,36,84,84.85
2022-06,99,37,81,81.82
2022-06,99,38,83,83.84
2022-06,99,39,75,75.76
2022-06,99,40,75,75.76
2022-07,106,0,85,80.19
2022-07,106,1,84,79.25
2022-07,106,2,72,67.92
2022-07,106,3,84,79.25
2022-07,106,4,77,72.64
2022-07,106,5,85,80.19
2022-07,106,6,93,87.74
2022-07,106,7,93,87.74
2022-07,106,8,84,79.25
2022-07,106,9,91,85.85
2022-07,106,10,78,73.58
2022-07,106,11,87,82.08
2022-07,106,12,87,82.08
2022-07,106,13,85,80.19
2022-07,106,14,72,67.92
2022-07,106,15,85,80.19
2022-07,106,16,74,69.81
2022-07,106,17,91,85.85
2022-07,106,18,95,89.62
2022-07,106,19,88,83.02
2022-07,106,20,83,78.30
2022-07,106,21,84,79.25
2022-07,106,22,87,82.08
2022-07,106,23,88,83.02
2022-07,106,24,85,80.19
2022-07,106,25,79,74.53
2022-07,106,26,79,74.53
2022-07,106,27,78,73.58
2022-07,106,28,72,67.92
2022-07,106,29,88,83.02
2022-07,106,30,94,88.68
2022-07,106,31,87,82.08
2022-07,106,32,89,83.96
2022-07,106,33,76,71.70
2022-07,106,34,94,88.68
2022-07,106,35,85,80.19
2022-07,106,36,84,79.25
2022-07,106,37,89,83.96
