month_end,circle,circle_code,zone,closing_base,gross_adds,churned_subscribers,net_adds,monthly_churn_pct,arpu_inr,data_traffic_pb,port_in_requests,port_out_requests,complaints_logged
2025-05-31 00:00:00,Maharashtra & Goa,MH,West,41712554,1054644,771961,282683,1.85,202.77,1661.7,410057,432243,32627
2025-06-30 00:00:00,Maharashtra & Goa,MH,West,41829779,971549,796843,174705,1.9,204.69,1594.9,420260,341420,26571
2025-07-31 00:00:00,Maharashtra & Goa,MH,West,42006929,860938,668343,192595,1.59,205.87,1771.7,291281,492444,28522
2025-08-31 00:00:00,Maharashtra & Goa,MH,West,42231002,698642,617780,80862,1.46,207.08,1686.8,311627,337093,28095
2025-09-30 00:00:00,Maharashtra & Goa,MH,West,42428914,932838,719918,212920,1.7,206.43,1727.7,432699,442946,33164
2025-10-31 00:00:00,Maharashtra & Goa,MH,West,42649931,1101317,708635,392682,1.66,208.01,1867.6,385713,447122,39570
2025-11-30 00:00:00,Maharashtra & Goa,MH,West,42863100,725100,765426,-40325,1.79,208.72,1787.7,288212,451168,26977
2025-12-31 00:00:00,Maharashtra & Goa,MH,West,43092720,854064,723217,130847,1.68,210.09,1723,444642,367700,32998
2026-01-31 00:00:00,Maharashtra & Goa,MH,West,43218325,790309,696505,93803,1.61,211.04,1680.1,438981,463387,33536
2026-02-28 00:00:00,Maharashtra & Goa,MH,West,43500392,970007,806249,163758,1.85,214.1,1767.3,474072,470533,33092
2026-03-31 00:00:00,Maharashtra & Goa,MH,West,43668975,812806,711319,101486,1.63,215.4,1929.5,368864,390316,27802
2026-04-30 00:00:00,Maharashtra & Goa,MH,West,43884965,687466,719152,-31686,1.64,216.49,1981.7,456285,414935,21120
2026-05-31 00:00:00,Maharashtra & Goa,MH,West,44084982,1018350,788973,229377,1.79,219.14,1945.8,409793,415355,35967
2026-06-30 00:00:00,Maharashtra & Goa,MH,West,44369420,978466,754117,224348,1.7,220.06,1770.3,406456,465137,28963
2026-07-31 00:00:00,Maharashtra & Goa,MH,West,44552711,918709,719872,198836,1.62,220.98,1857.1,390253,436288,36044
2026-08-31 00:00:00,Maharashtra & Goa,MH,West,44544028,896703,698569,198134,1.57,223.07,1763.5,413424,481828,28312
2025-03-31 00:00:00,Bihar & Jharkhand,BH,East,36228201,896662,752660,144002,2.08,199.67,1464.2,418802,609782,19971
2025-04-30 00:00:00,Bihar & Jharkhand,BH,East,36358186,810228,797108,13120,2.19,201.07,1420.1,314477,554194,22236
2025-05-31 00:00:00,Bihar & Jharkhand,BH,East,36580639,1041168,862221,178947,2.36,202.01,1565,324658,544144,28071
2025-06-30 00:00:00,Bihar & Jharkhand,BH,East,36699688,952453,883397,69055,2.41,204.48,1496.2,331611,472859,23094
2025-07-31 00:00:00,Bihar & Jharkhand,BH,East,36908068,997890,791287,206603,2.14,206.97,1489.4,295056,525617,30737
2025-08-31 00:00:00,Bihar & Jharkhand,BH,East,37099551,1185365,924414,260951,2.49,208.84,1454.9,297730,597147,23409
2025-09-30 00:00:00,Bihar & Jharkhand,BH,East,37203548,1212083,859272,352810,2.31,210.15,1498.3,345687,444571,31670
2025-10-31 00:00:00,Bihar & Jharkhand,BH,East,37262559,1176153,834251,341902,2.24,211.37,1564.2,324709,741114,23892
2025-11-30 00:00:00,Bihar & Jharkhand,BH,East,37494606,970110,912013,58097,2.43,214.39,1541.8,412623,497921,29983
2025-12-31 00:00:00,Bihar & Jharkhand,BH,East,37577994,1134277,909515,224761,2.42,215.71,1468.4,322403,379790,23153
2026-01-31 00:00:00,Bihar & Jharkhand,BH,East,37841016,951224,905425,45799,2.39,216.92,1534.8,341945,440969,32143
2026-02-28 00:00:00,Bihar & Jharkhand,BH,East,38110599,1139283,912728,226554,2.39,219.53,1505.4,282053,468495,25642
2026-03-31 00:00:00,Bihar & Jharkhand,BH,East,38199576,1036539,832607,203932,2.18,220.8,1622.6,284323,550999,30362
2026-04-30 00:00:00,Bihar & Jharkhand,BH,East,38418924,1031149,901702,129446,2.35,223.88,1575.2,376644,539977,23640
2026-05-31 00:00:00,Bihar & Jharkhand,BH,East,38622779,1161785,866480,295305,2.24,225.95,1456.1,323675,693044,24633
2026-06-30 00:00:00,Bihar & Jharkhand,BH,East,38809275,954051,883200,70851,2.28,227.96,1537,489234,629783,37610
2026-07-31 00:00:00,Bihar & Jharkhand,BH,East,38946101,1136358,911622,224735,2.34,229.78,1576.3,343289,674320,32770
2026-08-31 00:00:00,Bihar & Jharkhand,BH,East,39137428,1202354,918368,283986,2.35,232.27,1534.1,494087,677182,31472
2025-03-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,33668767,999330,791031,208299,2.35,199.65,1318.8,374719,559737,32881
2025-04-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,33770224,906637,803462,103174,2.38,201.18,1301.7,301225,596378,20903
2025-05-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,33958718,919967,788942,131024,2.32,202.93,1502.1,389125,485790,27421
2025-06-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34068560,929056,775972,153083,2.28,205.3,1485.4,249979,431877,26568
2025-07-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34195833,953405,809716,143689,2.37,207.28,1450.8,289559,516074,25150
2025-08-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34333318,914623,849292,65330,2.47,209.21,1435.1,286109,445106,25381
2025-09-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34549640,1014006,825268,188738,2.39,210.71,1415.3,336553,467782,26939
2025-10-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34770174,915320,824744,90576,2.37,212.91,1508.2,349888,405404,26208
2025-11-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,34921811,1002122,819522,182599,2.35,214.79,1505.3,340625,470342,25121
2025-12-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35026139,946402,841541,104860,2.4,216.83,1483.2,316085,451645,27713
2026-01-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35022429,1065220,829702,235518,2.37,218.59,1425.2,283225,505852,18892
2026-02-28 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35208166,1040465,795851,244614,2.26,218.81,1586.7,351204,362443,32769
2026-03-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35365096,896540,830204,66335,2.35,219.93,1469.6,376671,556753,29418
2026-04-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35443458,1067797,876221,191575,2.47,220.97,1435.6,307705,431543,23682
2026-05-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35679054,934717,847641,87075,2.38,222.24,1484.3,274819,518659,22583
2026-06-30 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35776517,1081953,834146,247806,2.33,223.77,1406.6,312691,499618,25903
2026-07-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35890101,1044020,951886,92134,2.65,224.62,1467.8,331971,586650,23611
2026-08-31 00:00:00,Madhya Pradesh & Chhattisgarh,MP,North,35883980,961064,803173,157890,2.24,226.5,1534.2,364353,590414,27836
2025-03-31 00:00:00,Tamil Nadu,TN,South,33636286,632952,514730,118222,1.53,201.03,1352.6,295669,310998,26686
2025-04-30 00:00:00,Tamil Nadu,TN,South,33753720,833827,580460,253366,1.72,202.89,1275.7,295477,267882,23083
2025-05-31 00:00:00,Tamil Nadu,TN,South,33936919,774439,513948,260490,1.51,204.31,1455.3,243951,289375,27684
2025-06-30 00:00:00,Tamil Nadu,TN,South,34073722,716837,536556,180280,1.57,204.93,1466.7,356644,280280,24354
2025-07-31 00:00:00,Tamil Nadu,TN,South,34229206,763762,575476,188285,1.68,206.7,1329.1,289427,214882,23900
2025-08-31 00:00:00,Tamil Nadu,TN,South,34364119,741209,569131,172077,1.66,207.66,1363,289092,267373,26452
2025-09-30 00:00:00,Tamil Nadu,TN,South,34627465,853002,586625,266376,1.69,209.75,1418.4,386934,398950,24229
2025-10-31 00:00:00,Tamil Nadu,TN,South,34802757,746961,548588,198373,1.58,210.83,1373.1,262625,356992,22951
2025-11-30 00:00:00,Tamil Nadu,TN,South,34993552,705269,561702,143566,1.61,212.55,1430.5,336843,301754,25891
2025-12-31 00:00:00,Tamil Nadu,TN,South,35182099,588428,558600,29827,1.59,214.54,1418.2,358830,307436,29700
2026-01-31 00:00:00,Tamil Nadu,TN,South,35346650,716146,576528,139617,1.63,215.55,1401.2,343633,407804,30467
2026-02-28 00:00:00,Tamil Nadu,TN,South,35481328,746755,495606,251149,1.4,216.43,1473.3,316380,231444,29157
2026-03-31 00:00:00,Tamil Nadu,TN,South,35655512,655490,582856,72633,1.63,218.03,1470.4,293812,304855,26933
2026-04-30 00:00:00,Tamil Nadu,TN,South,35784780,726975,561904,165070,1.57,220.75,1511.7,319964,375055,19545
2026-05-31 00:00:00,Tamil Nadu,TN,South,35964125,733735,527512,206223,1.47,221.55,1475.8,346672,397329,31456
2026-06-30 00:00:00,Tamil Nadu,TN,South,36073210,615962,568695,47266,1.58,224.29,1476.7,281965,307930,24275
2026-07-31 00:00:00,Tamil Nadu,TN,South,36137171,759703,557842,201860,1.54,225.91,1436.8,341856,358149,26523
2026-08-31 00:00:00,Tamil Nadu,TN,South,36349174,668994,596195,72799,1.64,227.83,1474.6,325406,267373,23574
2025-03-31 00:00:00,Andhra Pradesh & Telangana,AP,South,33695638,785788,564988,220800,1.68,200.36,1330.7,306963,345310,19804
2025-04-30 00:00:00,Andhra Pradesh & Telangana,AP,South,33864650,656283,541648,114634,1.6,201.77,1396.8,288289,351709,24872
2025-05-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34040690,735692,560806,174886,1.65,202.93,1300.6,349787,292975,28318
2025-06-30 00:00:00,Andhra Pradesh & Telangana,AP,South,34214109,773468,665739,107729,1.95,204.15,1363.9,286450,322951,21749
2025-07-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34292393,746923,618857,128065,1.8,206.61,1385,249342,325068,22800
2025-08-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34464578,655205,604319,50885,1.75,208.99,1480.7,230107,456628,25887
2025-09-30 00:00:00,Andhra Pradesh & Telangana,AP,South,34488484,680421,554388,126033,1.61,210.31,1425.4,304589,434878,29540
2025-10-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34689534,740455,567497,172958,1.64,211.88,1423.5,255838,383010,27327
2025-11-30 00:00:00,Andhra Pradesh & Telangana,AP,South,34749355,716272,595625,120646,1.71,213.86,1502.4,373937,260259,18398
2025-12-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34877963,782073,611344,170729,1.75,214.87,1608.9,314134,325665,28614
2026-01-31 00:00:00,Andhra Pradesh & Telangana,AP,South,34994666,774786,566623,208163,1.62,216.09,1475.7,256848,285438,28581
2026-02-28 00:00:00,Andhra Pradesh & Telangana,AP,South,35244521,718310,596353,121956,1.69,217.98,1474.6,314755,380287,23860
2026-03-31 00:00:00,Andhra Pradesh & Telangana,AP,South,35506638,620757,661797,-41040,1.86,218.7,1428.7,356835,263924,20471
2026-04-30 00:00:00,Andhra Pradesh & Telangana,AP,South,35683689,823170,558342,264828,1.56,220.61,1402.1,352496,342169,27223
2026-05-31 00:00:00,Andhra Pradesh & Telangana,AP,South,35768293,777620,577504,200115,1.61,222.61,1510.2,280291,357721,17137
2026-06-30 00:00:00,Andhra Pradesh & Telangana,AP,South,35955855,771653,617662,153991,1.72,225.18,1497.1,326608,333055,25319
2026-07-31 00:00:00,Andhra Pradesh & Telangana,AP,South,36199644,874692,623909,250782,1.72,225.58,1388.1,323099,399650,25518
2026-08-31 00:00:00,Andhra Pradesh & Telangana,AP,South,36217384,922604,688487,234116,1.9,226.44,1546.7,439012,374948,23366
2025-03-31 00:00:00,Karnataka,KA,South,31071400,736675,493288,243386,1.59,200.33,1328.9,225738,278411,20478
2025-04-30 00:00:00,Karnataka,KA,South,31277138,544944,458430,86514,1.47,201.82,1324.7,349838,190488,23359
2025-05-31 00:00:00,Karnataka,KA,South,31498433,641439,495447,145991,1.57,203,1238.5,341662,253618,25476
2025-06-30 00:00:00,Karnataka,KA,South,31745026,486340,543599,-57258,1.71,204.34,1327.9,295883,338954,31883
2025-07-31 00:00:00,Karnataka,KA,South,31850936,647758,519242,128515,1.63,206.14,1246.1,298790,244551,21218
2025-08-31 00:00:00,Karnataka,KA,South,31968066,678968,532377,146590,1.67,207.4,1302.6,272219,380422,17239
2025-09-30 00:00:00,Karnataka,KA,South,32144530,557757,520648,37109,1.62,208.93,1152.8,394879,275982,19756
2025-10-31 00:00:00,Karnataka,KA,South,32276366,598223,504269,93954,1.56,210.85,1230.1,265639,349537,18814
2025-11-30 00:00:00,Karnataka,KA,South,32416999,570580,495105,75474,1.53,212.87,1343.8,269266,348330,25288
2025-12-31 00:00:00,Karnataka,KA,South,32500880,564656,466217,98438,1.43,214.92,1357.4,303257,268445,30533
2026-01-31 00:00:00,Karnataka,KA,South,32715812,584987,489903,95083,1.5,217.35,1346.3,275664,389804,19976
2026-02-28 00:00:00,Karnataka,KA,South,32821951,617735,427550,190185,1.3,218.92,1407.3,401976,365083,25320
2026-03-31 00:00:00,Karnataka,KA,South,32967193,621294,486237,135056,1.47,218.79,1420.6,213824,327962,18876
2026-04-30 00:00:00,Karnataka,KA,South,33031380,536898,424178,112719,1.28,220.62,1469.3,334662,230899,22035
2026-05-31 00:00:00,Karnataka,KA,South,33200656,593022,504952,88070,1.52,222.41,1362.6,284661,301203,22498
2026-06-30 00:00:00,Karnataka,KA,South,33430991,691392,491653,199738,1.47,224.88,1326.3,299640,251104,21007
2026-07-31 00:00:00,Karnataka,KA,South,33553226,549736,402733,147002,1.2,227.59,1303.3,229149,301504,21163
2026-08-31 00:00:00,Karnataka,KA,South,33713181,624450,544439,80011,1.61,229.12,1347.4,316763,343468,31198
2025-03-31 00:00:00,Uttar Pradesh West,UPW,North,28477619,678419,659142,19276,2.31,200.04,1097.1,261560,345489,20531
2025-04-30 00:00:00,Uttar Pradesh West,UPW,North,28562214,863346,662732,200613,2.32,201.57,1178.5,272041,438711,15536
2025-05-31 00:00:00,Uttar Pradesh West,UPW,North,28661596,867741,651940,215801,2.27,202.31,1148.2,315494,494951,16680
2025-06-30 00:00:00,Uttar Pradesh West,UPW,North,28751065,744151,654720,89431,2.28,203.85,1218.4,216635,306152,21608
2025-07-31 00:00:00,Uttar Pradesh West,UPW,North,28873303,789576,700693,88882,2.43,204.84,1159.8,271729,245848,20529
2025-08-31 00:00:00,Uttar Pradesh West,UPW,North,28966305,796463,691006,105456,2.39,206.65,1183.9,228442,412101,23538
2025-09-30 00:00:00,Uttar Pradesh West,UPW,North,29018646,762811,610326,152485,2.1,207.95,1234.7,263817,311925,16992
2025-10-31 00:00:00,Uttar Pradesh West,UPW,North,29094660,855322,711620,143702,2.45,210.41,1100.2,292734,383874,20268
2025-11-30 00:00:00,Uttar Pradesh West,UPW,North,29167472,893107,738751,154356,2.53,213.66,1223.8,252301,405235,21505
2025-12-31 00:00:00,Uttar Pradesh West,UPW,North,29191856,792733,660821,131912,2.26,215.6,1181.5,303804,389081,16833
2026-01-31 00:00:00,Uttar Pradesh West,UPW,North,29345410,795304,640815,154488,2.18,217.15,1146.5,306972,429132,22630
2026-02-28 00:00:00,Uttar Pradesh West,UPW,North,29347063,708241,696250,11991,2.37,219.62,1224.3,190787,373204,17448
2026-03-31 00:00:00,Uttar Pradesh West,UPW,North,29426121,747461,712080,35380,2.42,220.75,1220,248315,386260,23260
2026-04-30 00:00:00,Uttar Pradesh West,UPW,North,29572269,844281,655301,188979,2.22,223.06,1150.4,280546,397760,13042
2026-05-31 00:00:00,Uttar Pradesh West,UPW,North,29666622,840514,733086,107427,2.47,224.75,1227.6,276810,412323,27028
2026-06-30 00:00:00,Uttar Pradesh West,UPW,North,29805163,794752,637142,157609,2.14,225.93,1144.1,302571,436845,24175
2026-07-31 00:00:00,Uttar Pradesh West,UPW,North,29997991,1012963,680397,332566,2.27,226.8,1272.6,296415,427803,24051
2026-08-31 00:00:00,Uttar Pradesh West,UPW,North,30133296,1026828,731027,295800,2.43,229.76,1217.4,305978,465039,22742
2025-03-31 00:00:00,Rajasthan,RJ,North,28391277,797295,586105,211190,2.06,200.49,1206,292001,255835,18694
2025-04-30 00:00:00,Rajasthan,RJ,North,28434595,594144,533523,60621,1.88,202.37,1222.3,271606,259041,19100
2025-05-31 00:00:00,Rajasthan,RJ,North,28578434,688414,560646,127767,1.96,203.55,1143.5,265909,253806,19937
2025-06-30 00:00:00,Rajasthan,RJ,North,28691249,792337,569530,222806,1.99,204.46,1196.7,275971,305608,18822
2025-07-31 00:00:00,Rajasthan,RJ,North,28808149,677488,534020,143468,1.85,207.12,1248.5,299242,260296,19515
2025-08-31 00:00:00,Rajasthan,RJ,North,28863501,691266,528049,163217,1.83,208.16,1132.6,275460,302835,19016
2025-09-30 00:00:00,Rajasthan,RJ,North,29036832,736360,533332,203027,1.84,210.34,1230.5,291606,251392,16587
2025-10-31 00:00:00,Rajasthan,RJ,North,29186600,594015,548163,45852,1.88,211.73,1215.9,242816,328654,24291
2025-11-30 00:00:00,Rajasthan,RJ,North,29267806,729351,614626,114724,2.1,213.22,1102.7,247037,286691,17448
2025-12-31 00:00:00,Rajasthan,RJ,North,29404302,638483,551339,87143,1.88,215.43,1192.8,262699,277426,20838
2026-01-31 00:00:00,Rajasthan,RJ,North,29629381,766244,574955,191289,1.94,217.51,1114.6,323926,267596,18349
2026-02-28 00:00:00,Rajasthan,RJ,North,29662091,772340,646818,125522,2.18,219.56,1224.7,253326,370789,25378
2026-03-31 00:00:00,Rajasthan,RJ,North,29791778,729617,626661,102956,2.1,222.06,1149.7,218512,497437,22178
2026-04-30 00:00:00,Rajasthan,RJ,North,29931285,714619,654498,60120,2.19,223.18,1289.3,296625,251726,19502
2026-05-31 00:00:00,Rajasthan,RJ,North,30025906,835859,651221,184638,2.17,224.56,1185.6,253183,262768,20574
2026-06-30 00:00:00,Rajasthan,RJ,North,30132209,870237,616486,253751,2.05,225.32,1203.3,250061,426742,23776
2026-07-31 00:00:00,Rajasthan,RJ,North,30304339,872401,657417,214984,2.17,227.67,1266.8,316293,347187,18914
2026-08-31 00:00:00,Rajasthan,RJ,North,30425426,689358,625586,63772,2.06,229.39,1281.6,271886,413918,23893
2025-03-31 00:00:00,Gujarat,GJ,West,28459423,594718,475107,119610,1.67,199.28,1170.5,230338,322190,22047
2025-04-30 00:00:00,Gujarat,GJ,West,28638078,561438,425594,135843,1.49,201.6,1215.6,245864,293629,23033
2025-05-31 00:00:00,Gujarat,GJ,West,28684992,533630,469790,63839,1.64,202.25,1178.8,280375,272765,15965
2025-06-30 00:00:00,Gujarat,GJ,West,28814750,482933,462739,20194,1.61,203.6,1158,197957,221602,18837
2025-07-31 00:00:00,Gujarat,GJ,West,28966870,629514,523188,106326,1.81,204.63,1161,261522,319898,22851
2025-08-31 00:00:00,Gujarat,GJ,West,28973435,514885,451212,63673,1.56,206.26,1201.2,281761,174722,21854
2025-09-30 00:00:00,Gujarat,GJ,West,29063897,646493,468985,177507,1.61,208.82,1253.2,202025,261810,16953
2025-10-31 00:00:00,Gujarat,GJ,West,29153842,500853,480747,20105,1.65,210.44,1335.9,258579,319290,21570
2025-11-30 00:00:00,Gujarat,GJ,West,29264906,510597,471460,39136,1.61,212.57,1108.8,247510,258472,19524
2025-12-31 00:00:00,Gujarat,GJ,West,29378667,466911,490664,-23753,1.67,214.32,1223.1,292880,323366,20614
2026-01-31 00:00:00,Gujarat,GJ,West,29459420,565278,436980,128297,1.48,216.56,1276.5,243195,242835,27879
2026-02-28 00:00:00,Gujarat,GJ,West,29619410,691649,504017,187631,1.7,217.99,1292.4,321326,288672,19916
2026-03-31 00:00:00,Gujarat,GJ,West,29668266,589291,450501,138790,1.52,220.63,1264,292327,288087,16753
2026-04-30 00:00:00,Gujarat,GJ,West,29771509,646429,536793,109635,1.8,222,1266.1,259910,212278,18253
2026-05-31 00:00:00,Gujarat,GJ,West,29847199,819675,513868,305807,1.72,224.84,1305.3,347707,255000,20857
2026-06-30 00:00:00,Gujarat,GJ,West,29950175,667329,481455,185874,1.61,226.24,1146.2,249049,291482,25713
2026-07-31 00:00:00,Gujarat,GJ,West,30134477,663053,498214,164839,1.65,227.89,1238.9,223563,230249,16880
2026-08-31 00:00:00,Gujarat,GJ,West,30227037,843368,533023,310344,1.76,230.04,1220.5,256494,319035,15407
2025-03-31 00:00:00,West Bengal,WB,East,25797354,730140,524511,205629,2.03,200.37,1125.9,227959,268951,22374
2025-04-30 00:00:00,West Bengal,WB,East,25837876,650626,510636,139989,1.98,201.5,1021.8,205120,259249,25656
2025-05-31 00:00:00,West Bengal,WB,East,25932433,557978,493620,64357,1.9,203.4,1079.2,256263,369990,16517
2025-06-30 00:00:00,West Bengal,WB,East,26059919,595619,485436,110183,1.86,204.74,1073.5,320853,309576,17373
2025-07-31 00:00:00,West Bengal,WB,East,26134350,529783,567413,-37630,2.17,206.94,1061.2,228796,232864,23843
2025-08-31 00:00:00,West Bengal,WB,East,26232361,578616,506007,72608,1.93,208.41,1089.9,302229,272772,16966
2025-09-30 00:00:00,West Bengal,WB,East,26334656,514101,468878,45222,1.78,210.45,1046.1,245659,191363,16154
2025-10-31 00:00:00,West Bengal,WB,East,26441356,666413,512898,153514,1.94,212.37,1089.7,258390,200949,17748
2025-11-30 00:00:00,West Bengal,WB,East,26619681,598038,485846,112191,1.83,215.25,1114,243563,356299,17488
2025-12-31 00:00:00,West Bengal,WB,East,26737278,495555,480303,15251,1.8,217.33,1128.8,259134,308279,19094
2026-01-31 00:00:00,West Bengal,WB,East,26871033,685601,516869,168731,1.92,218.03,1083.2,311327,383439,14691
2026-02-28 00:00:00,West Bengal,WB,East,26993590,608076,542199,65876,2.01,219.16,1086.9,189756,382774,19030
2026-03-31 00:00:00,West Bengal,WB,East,27057350,687529,552548,134980,2.04,220.33,1191.3,239396,293290,23210
2026-04-30 00:00:00,West Bengal,WB,East,27223637,597204,503796,93407,1.85,222.14,1045.9,195336,313938,13618
2026-05-31 00:00:00,West Bengal,WB,East,27348655,598045,480463,117581,1.76,223.23,1123.7,230658,342559,18790
2026-06-30 00:00:00,West Bengal,WB,East,27421355,644203,545036,99166,1.99,224.44,1175.9,291774,249010,19868
2026-07-31 00:00:00,West Bengal,WB,East,27517532,562792,485558,77234,1.76,226.82,1116.6,264667,364746,17697
2026-08-31 00:00:00,West Bengal,WB,East,27696413,658128,550397,107731,1.99,229.82,1120.7,270443,287951,23444
2025-03-31 00:00:00,Kerala,KL,South,20702097,422839,294813,128026,1.42,199.55,912.9,208177,240379,17877
2025-04-30 00:00:00,Kerala,KL,South,20832036,379858,304957,74900,1.46,201.98,823.2,171550,153527,15613
2025-05-31 00:00:00,Kerala,KL,South,20939566,388593,296978,91614,1.42,203.94,878.4,157423,128027,12161
2025-06-30 00:00:00,Kerala,KL,South,21039204,296560,285629,10930,1.36,205.26,864.6,206873,218831,15535
2025-07-31 00:00:00,Kerala,KL,South,21143392,489400,340295,149105,1.61,207.17,919.5,206205,168038,16006
2025-08-31 00:00:00,Kerala,KL,South,21230749,303449,301469,1980,1.42,209.12,839.3,247276,169980,18646
2025-09-30 00:00:00,Kerala,KL,South,21327723,458792,329351,129440,1.54,211.56,898.5,172342,170605,11292
2025-10-31 00:00:00,Kerala,KL,South,21428799,385207,275735,109472,1.29,213.99,876.9,177700,202103,16881
2025-11-30 00:00:00,Kerala,KL,South,21567057,400907,273171,127735,1.27,217.02,877.6,193990,186648,19243
2025-12-31 00:00:00,Kerala,KL,South,21700678,358632,323070,35561,1.49,219.42,885.1,203999,135247,15185
2026-01-31 00:00:00,Kerala,KL,South,21757801,402275,350947,51327,1.61,221.17,840.5,249273,193800,16287
2026-02-28 00:00:00,Kerala,KL,South,21820390,524665,370054,154610,1.7,223.27,904.4,233266,198209,16915
2026-03-31 00:00:00,Kerala,KL,South,21893175,478355,311774,166580,1.42,225.71,896.2,221750,205380,16781
2026-04-30 00:00:00,Kerala,KL,South,21930785,361426,321099,40327,1.46,227.5,879.9,130420,172107,19181
2026-05-31 00:00:00,Kerala,KL,South,22067857,509247,314157,195090,1.42,228.49,876.7,198987,141655,16150
2026-06-30 00:00:00,Kerala,KL,South,22133374,410050,336676,73373,1.52,230.69,898.4,216622,188392,11663
2026-07-31 00:00:00,Kerala,KL,South,22170586,435160,344642,90518,1.55,232.8,905.4,224192,205507,16976
2026-08-31 00:00:00,Kerala,KL,South,22268910,396766,338612,58153,1.52,235.51,842.2,167112,192616,14108
2025-03-31 00:00:00,Delhi NCR,DL,North,16569649,331518,264601,66917,1.6,199.64,647.3,130683,105322,12825
2025-04-30 00:00:00,Delhi NCR,DL,North,16605038,357851,253553,104298,1.53,201.37,721.1,143152,128175,11004
