sr_id,subscriber_id,circle,circle_code,product,sr_category,sr_subcategory,channel,raised_date,sla_days,resolution_days,resolved_date,sla_breach_flag,reopened_flag,status,csat_score
SR300012825,JIO10057469,Tamil Nadu,TN,Wireless,Network,No coverage,MyJio app,2026-05-27 00:00:00,3,0.6,2026-05-27 14:24:00,FALSE,FALSE,Closed,4
SR300000057,JIO10012566,Assam,AS,Wireless,Service,Value added service,Call centre,2026-05-31 00:00:00,4,7.4,2026-06-07 09:36:00,TRUE,FALSE,Closed,1
SR300005143,JIO10024436,Bihar & Jharkhand,BH,Wireless,Billing,Plan mismatch,Call centre,2026-03-12 00:00:00,5,1.9,2026-03-13 21:36:00,FALSE,FALSE,Closed,2
SR300013665,JIO10039852,Punjab,PB,JioFiber,Provisioning,Installation delay,MyJio app,2026-03-26 00:00:00,7,14.7,2026-04-09 16:48:00,TRUE,FALSE,Closed,4
SR300006332,JIO10033004,Jammu & Kashmir,JK,Wireless,Billing,Recharge not credited,Web,2026-05-26 00:00:00,5,5.3,2026-05-31 07:12:00,TRUE,FALSE,Closed,2
SR300014117,JIO10053615,Assam,AS,Wireless,Billing,Plan mismatch,Call centre,2026-03-12 00:00:00,5,4.5,2026-03-16 12:00:00,FALSE,TRUE,Closed,1
SR300009634,JIO10038603,Kolkata,KO,Wireless,Billing,Recharge not credited,MyJio app,2026-07-01 00:00:00,5,,,TRUE,FALSE,Open,
SR300008170,JIO10026418,Haryana,HR,Wireless,Network,5G not available,MyJio app,2026-07-04 00:00:00,3,6.3,2026-07-10 07:12:00,TRUE,TRUE,Closed,2
SR300012290,JIO10026787,Uttar Pradesh East,UPE,Wireless,Network,5G not available,Retail store,2026-04-28 00:00:00,3,2.1,2026-04-30 02:24:00,FALSE,FALSE,Closed,1
SR300008164,JIO10001112,Rajasthan,RJ,Wireless,Service,Plan change request,Call centre,2026-07-08 00:00:00,4,2.2,2026-07-10 04:48:00,FALSE,FALSE,Closed,5
SR300007291,JIO10025719,West Bengal,WB,Wireless,Billing,Plan mismatch,Call centre,2026-03-09 00:00:00,5,0.8,2026-03-09 19:12:00,FALSE,FALSE,Closed,2
SR300002652,JIO10031370,West Bengal,WB,Wireless,Billing,Plan mismatch,MyJio app,2026-08-22 00:00:00,5,0.7,2026-08-22 16:48:00,FALSE,FALSE,Closed,3
SR300009810,JIO10020099,Tamil Nadu,TN,Wireless,Service,Value added service,MyJio app,2026-08-09 00:00:00,4,3.7,2026-08-12 16:48:00,FALSE,FALSE,Closed,3
SR300011436,JIO10027898,Kolkata,KO,Wireless,Billing,Incorrect charge,Call centre,2026-03-17 00:00:00,5,0.3,2026-03-17 07:12:00,FALSE,FALSE,Closed,1
SR300003061,JIO10005406,West Bengal,WB,Wireless,Network,Slow data,MyJio app,2026-04-09 00:00:00,3,0.4,2026-04-09 09:36:00,FALSE,FALSE,Closed,1
SR300010546,JIO10000388,Maharashtra & Goa,MH,Wireless,Service,Value added service,MyJio app,2026-07-09 00:00:00,4,0.8,2026-07-09 19:12:00,FALSE,FALSE,Closed,1
SR300010055,JIO10061672,Maharashtra & Goa,MH,Wireless,Network,Call drop,MyJio app,2026-04-05 00:00:00,3,,,TRUE,FALSE,Open,
SR300000921,JIO10006091,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,5G not available,MyJio app,2026-07-04 00:00:00,3,6.6,2026-07-10 14:24:00,TRUE,FALSE,Closed,5
SR300007596,JIO10050316,West Bengal,WB,JioFiber,Provisioning,Engineer no-show,MyJio app,2026-05-15 00:00:00,7,36.6,2026-06-20 14:24:00,TRUE,FALSE,Closed,4
SR300013394,JIO10040570,Kolkata,KO,Wireless,Network,5G not available,MyJio app,2026-04-08 00:00:00,3,4.3,2026-04-12 07:12:00,TRUE,FALSE,Closed,3
SR300014023,JIO10022674,Delhi NCR,DL,Wireless,Billing,Recharge not credited,Call centre,2026-05-29 00:00:00,5,2.5,2026-05-31 12:00:00,FALSE,FALSE,Closed,1
SR300002815,JIO10004732,Punjab,PB,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-03-19 00:00:00,7,7.8,2026-03-26 19:12:00,TRUE,FALSE,Closed,2
SR300007130,JIO10003758,Delhi NCR,DL,Wireless,Network,Call drop,Call centre,2026-06-01 00:00:00,3,4.2,2026-06-05 04:48:00,TRUE,FALSE,Closed,4
SR300004455,JIO10064582,Andhra Pradesh & Telangana,AP,Wireless,Network,Slow data,MyJio app,2026-03-29 00:00:00,3,7.3,2026-04-05 07:12:00,TRUE,FALSE,Closed,2
SR300004486,JIO10053004,Madhya Pradesh & Chhattisgarh,MP,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-06-14 00:00:00,7,3.7,2026-06-17 16:48:00,FALSE,FALSE,Closed,1
SR300009633,JIO10048036,Maharashtra & Goa,MH,JioAirFiber,Provisioning,Installation delay,Web,2026-08-28 00:00:00,7,27.3,2026-09-24 07:12:00,TRUE,FALSE,Closed,2
SR300002959,JIO10047668,Uttar Pradesh West,UPW,Wireless,Service,Plan change request,MyJio app,2026-05-10 00:00:00,4,3.5,2026-05-13 12:00:00,FALSE,FALSE,Closed,1
SR300000327,JIO10014464,Maharashtra & Goa,MH,Wireless,Billing,Plan mismatch,MyJio app,2026-07-04 00:00:00,5,7.3,2026-07-11 07:12:00,TRUE,TRUE,Closed,1
SR300007689,JIO10043400,Assam,AS,Wireless,Billing,Plan mismatch,MyJio app,2026-04-09 00:00:00,5,4.4,2026-04-13 09:36:00,FALSE,FALSE,Closed,4
SR300011432,JIO10010367,Bihar & Jharkhand,BH,Wireless,Device,SIM replacement,MyJio app,2026-03-14 00:00:00,4,4.1,2026-03-18 02:24:00,TRUE,FALSE,Closed,3
SR300004497,JIO10063026,Uttar Pradesh West,UPW,Wireless,Billing,Recharge not credited,Web,2026-05-26 00:00:00,5,9.2,2026-06-04 04:48:00,TRUE,FALSE,Closed,3
SR300013410,JIO10064733,Maharashtra & Goa,MH,Wireless,Network,5G not available,WhatsApp,2026-07-01 00:00:00,3,2.6,2026-07-03 14:24:00,FALSE,FALSE,Closed,5
SR300012103,JIO10002853,Delhi NCR,DL,Wireless,Billing,Incorrect charge,MyJio app,2026-03-28 00:00:00,5,1.4,2026-03-29 09:36:00,FALSE,FALSE,Closed,5
SR300000541,JIO10035138,Uttar Pradesh East,UPE,Wireless,Network,Call drop,Retail store,2026-03-07 00:00:00,3,9.5,2026-03-16 12:00:00,TRUE,FALSE,Closed,5
SR300007726,JIO10015938,Delhi NCR,DL,Wireless,Service,Plan change request,MyJio app,2026-08-23 00:00:00,4,1.7,2026-08-24 16:48:00,FALSE,FALSE,Closed,5
SR300006237,JIO10057023,Rajasthan,RJ,Wireless,Service,Plan change request,MyJio app,2026-05-01 00:00:00,4,,,TRUE,FALSE,Open,
SR300013601,JIO10034314,Karnataka,KA,JioAirFiber,Device,Router fault,MyJio app,2026-08-10 00:00:00,4,8.1,2026-08-18 02:24:00,TRUE,TRUE,Closed,4
SR300007179,JIO10024267,Rajasthan,RJ,Wireless,Billing,Refund pending,MyJio app,2026-06-26 00:00:00,5,4.5,2026-06-30 12:00:00,FALSE,FALSE,Closed,2
SR300007416,JIO10007888,Gujarat,GJ,Wireless,Service,Value added service,Retail store,2026-08-27 00:00:00,4,4.1,2026-08-31 02:24:00,TRUE,FALSE,Closed,5
SR300002795,JIO10014286,Himachal Pradesh,HP,Wireless,Billing,Incorrect charge,MyJio app,2026-07-30 00:00:00,5,2.5,2026-08-01 12:00:00,FALSE,FALSE,Closed,3
SR300002638,JIO10027122,Kolkata,KO,Wireless,Billing,Incorrect charge,MyJio app,2026-03-29 00:00:00,5,4.5,2026-04-02 12:00:00,FALSE,FALSE,Closed,5
SR300000923,JIO10043138,Odisha,OR,Wireless,Network,No coverage,MyJio app,2026-06-07 00:00:00,3,1.2,2026-06-08 04:48:00,FALSE,FALSE,Closed,2
SR300000049,JIO10000224,Delhi NCR,DL,Wireless,Network,No coverage,Call centre,2026-03-22 00:00:00,3,4.4,2026-03-26 09:36:00,TRUE,TRUE,Closed,5
SR300009387,JIO10026608,Delhi NCR,DL,Wireless,Provisioning,Activation failure,Retail store,2026-04-18 00:00:00,7,11.6,2026-04-29 14:24:00,TRUE,TRUE,Closed,4
SR300013130,JIO10029559,Kerala,KL,Wireless,Device,eSIM activation,MyJio app,2026-07-24 00:00:00,4,5.2,2026-07-29 04:48:00,TRUE,FALSE,Closed,5
SR300000784,JIO10061891,Madhya Pradesh & Chhattisgarh,MP,Wireless,Billing,Recharge not credited,MyJio app,2026-06-18 00:00:00,5,4,2026-06-22 00:00:00,FALSE,FALSE,Closed,5
SR300009211,JIO10029968,Mumbai,MU,Wireless,Device,eSIM activation,Retail store,2026-08-13 00:00:00,4,0.3,2026-08-13 07:12:00,FALSE,FALSE,Closed,2
SR300000261,JIO10000710,Tamil Nadu,TN,Wireless,Network,Call drop,WhatsApp,2026-07-25 00:00:00,3,5.9,2026-07-30 21:36:00,TRUE,TRUE,Closed,4
SR300007880,JIO10006617,Bihar & Jharkhand,BH,Wireless,Network,5G not available,MyJio app,2026-06-02 00:00:00,3,6.6,2026-06-08 14:24:00,TRUE,FALSE,Closed,4
SR300014093,JIO10017706,Delhi NCR,DL,Wireless,Network,Call drop,Call centre,2026-07-28 00:00:00,3,7.9,2026-08-04 21:36:00,TRUE,FALSE,Closed,4
SR300008649,JIO10032351,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,Slow data,Call centre,2026-07-16 00:00:00,3,,,TRUE,FALSE,Open,
SR300003134,JIO10043631,Rajasthan,RJ,Wireless,Network,Call drop,Call centre,2026-04-28 00:00:00,3,6.6,2026-05-04 14:24:00,TRUE,TRUE,Closed,5
SR300000970,JIO10049214,Bihar & Jharkhand,BH,Wireless,Billing,Recharge not credited,Retail store,2026-06-08 00:00:00,5,1.1,2026-06-09 02:24:00,FALSE,FALSE,Closed,5
SR300000654,JIO10035744,Uttar Pradesh West,UPW,JioFiber,Provisioning,Relocation pending,Call centre,2026-06-27 00:00:00,7,14.6,2026-07-11 14:24:00,TRUE,FALSE,Closed,3
SR300001875,JIO10045355,Karnataka,KA,Wireless,Network,Call drop,MyJio app,2026-07-09 00:00:00,3,4.6,2026-07-13 14:24:00,TRUE,FALSE,Closed,3
SR300004183,JIO10025851,Karnataka,KA,Wireless,Billing,Plan mismatch,MyJio app,2026-04-18 00:00:00,5,4.7,2026-04-22 16:48:00,FALSE,FALSE,Closed,1
SR300006545,JIO10058063,Uttar Pradesh West,UPW,Wireless,Billing,Recharge not credited,MyJio app,2026-08-14 00:00:00,5,5,2026-08-19 00:00:00,FALSE,FALSE,Closed,5
SR300004647,JIO10033846,Bihar & Jharkhand,BH,JioAirFiber,Provisioning,Installation delay,Call centre,2026-08-17 00:00:00,7,7.3,2026-08-24 07:12:00,TRUE,FALSE,Closed,5
SR300000935,JIO10010597,Andhra Pradesh & Telangana,AP,Wireless,Service,Value added service,WhatsApp,2026-07-20 00:00:00,4,1.6,2026-07-21 14:24:00,FALSE,FALSE,Closed,1
SR300002127,JIO10026564,Maharashtra & Goa,MH,Wireless,Device,eSIM activation,WhatsApp,2026-08-24 00:00:00,4,3.2,2026-08-27 04:48:00,FALSE,FALSE,Closed,5
SR300001197,JIO10056793,Maharashtra & Goa,MH,Wireless,Billing,Recharge not credited,Web,2026-03-11 00:00:00,5,1.6,2026-03-12 14:24:00,FALSE,TRUE,Closed,2
SR300009890,JIO10042991,Kerala,KL,Wireless,Billing,Recharge not credited,MyJio app,2026-07-08 00:00:00,5,13.9,2026-07-21 21:36:00,TRUE,FALSE,Closed,5
SR300000999,JIO10044911,Karnataka,KA,Wireless,Billing,Plan mismatch,Retail store,2026-04-05 00:00:00,5,1.2,2026-04-06 04:48:00,FALSE,FALSE,Closed,3
SR300013836,JIO10036299,Bihar & Jharkhand,BH,Wireless,Billing,Recharge not credited,Retail store,2026-08-30 00:00:00,5,,,TRUE,FALSE,Open,
SR300007286,JIO10012942,Delhi NCR,DL,JioAirFiber,Provisioning,Engineer no-show,Call centre,2026-07-14 00:00:00,7,6.1,2026-07-20 02:24:00,FALSE,FALSE,Closed,2
SR300004977,JIO10005952,Maharashtra & Goa,MH,JioFiber,Provisioning,Relocation pending,Call centre,2026-04-15 00:00:00,7,9.6,2026-04-24 14:24:00,TRUE,FALSE,Closed,1
SR300008575,JIO10035438,Punjab,PB,Wireless,Service,Port-out enquiry,MyJio app,2026-06-20 00:00:00,4,3.1,2026-06-23 02:24:00,FALSE,FALSE,Closed,4
SR300007456,JIO10014838,Tamil Nadu,TN,Wireless,Billing,Plan mismatch,Web,2026-08-25 00:00:00,5,4.3,2026-08-29 07:12:00,FALSE,FALSE,Closed,5
SR300004722,JIO10060138,Maharashtra & Goa,MH,Wireless,Billing,Refund pending,MyJio app,2026-03-13 00:00:00,5,7.6,2026-03-20 14:24:00,TRUE,TRUE,Closed,1
SR300003275,JIO10012697,Rajasthan,RJ,Wireless,Billing,Plan mismatch,MyJio app,2026-05-07 00:00:00,5,1.3,2026-05-08 07:12:00,FALSE,FALSE,Closed,3
SR300009314,JIO10044464,Andhra Pradesh & Telangana,AP,Wireless,Network,Slow data,Call centre,2026-06-22 00:00:00,3,1.9,2026-06-23 21:36:00,FALSE,FALSE,Closed,3
SR300011214,JIO10008641,Gujarat,GJ,Wireless,Billing,Incorrect charge,MyJio app,2026-08-12 00:00:00,5,5,2026-08-17 00:00:00,FALSE,FALSE,Closed,1
SR300007474,JIO10038654,Maharashtra & Goa,MH,JioAirFiber,Provisioning,Relocation pending,Call centre,2026-07-13 00:00:00,7,5.9,2026-07-18 21:36:00,FALSE,FALSE,Closed,2
SR300008048,JIO10060212,Mumbai,MU,Wireless,Service,Port-out enquiry,MyJio app,2026-06-05 00:00:00,4,13,2026-06-18 00:00:00,TRUE,FALSE,Closed,3
SR300011385,JIO10052639,Haryana,HR,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-08-19 00:00:00,7,4.3,2026-08-23 07:12:00,FALSE,TRUE,Closed,1
SR300013934,JIO10041892,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,5G not available,Call centre,2026-07-20 00:00:00,3,2.5,2026-07-22 12:00:00,FALSE,FALSE,Closed,3
SR300002172,JIO10044970,Gujarat,GJ,Wireless,Billing,Recharge not credited,Retail store,2026-04-19 00:00:00,5,6.2,2026-04-25 04:48:00,TRUE,FALSE,Closed,1
SR300006813,JIO10018826,Uttar Pradesh East,UPE,Wireless,Billing,Plan mismatch,MyJio app,2026-05-04 00:00:00,5,1.8,2026-05-05 19:12:00,FALSE,FALSE,Closed,2
SR300007888,JIO10042753,Gujarat,GJ,Wireless,Network,5G not available,Call centre,2026-04-05 00:00:00,3,5.7,2026-04-10 16:48:00,TRUE,FALSE,Closed,1
SR300011708,JIO10014327,West Bengal,WB,Wireless,Billing,Plan mismatch,MyJio app,2026-04-29 00:00:00,5,4.1,2026-05-03 02:24:00,FALSE,FALSE,Closed,5
SR300010160,JIO10035921,Uttar Pradesh East,UPE,Wireless,Service,Plan change request,MyJio app,2026-03-19 00:00:00,4,5.6,2026-03-24 14:24:00,TRUE,FALSE,Closed,5
SR300008176,JIO10054419,Assam,AS,Wireless,Network,Call drop,MyJio app,2026-08-19 00:00:00,3,4.8,2026-08-23 19:12:00,TRUE,FALSE,Closed,4
SR300007693,JIO10006981,Kolkata,KO,Wireless,Billing,Incorrect charge,MyJio app,2026-03-10 00:00:00,5,3.7,2026-03-13 16:48:00,FALSE,FALSE,Closed,3
SR300007992,JIO10022103,Rajasthan,RJ,Wireless,Network,5G not available,Call centre,2026-07-22 00:00:00,3,1.1,2026-07-23 02:24:00,FALSE,FALSE,Closed,3
SR300007039,JIO10052354,Bihar & Jharkhand,BH,Wireless,Billing,Refund pending,MyJio app,2026-05-11 00:00:00,5,,,TRUE,TRUE,Open,
SR300008718,JIO10064423,Mumbai,MU,Wireless,Billing,Refund pending,MyJio app,2026-07-02 00:00:00,5,3.1,2026-07-05 02:24:00,FALSE,FALSE,Closed,5
SR300000070,JIO10021069,Madhya Pradesh & Chhattisgarh,MP,Wireless,Service,Plan change request,MyJio app,2026-06-25 00:00:00,4,0.6,2026-06-25 14:24:00,FALSE,TRUE,Closed,4
SR300010448,JIO10015512,Bihar & Jharkhand,BH,JioAirFiber,Provisioning,Relocation pending,Call centre,2026-05-24 00:00:00,7,12,2026-06-05 00:00:00,TRUE,FALSE,Closed,2
SR300013522,JIO10053016,Maharashtra & Goa,MH,Wireless,Network,Call drop,Retail store,2026-04-03 00:00:00,3,5.4,2026-04-08 09:36:00,TRUE,FALSE,Closed,4
SR300008832,JIO10046808,Bihar & Jharkhand,BH,Wireless,Network,5G not available,Call centre,2026-03-20 00:00:00,3,5.2,2026-03-25 04:48:00,TRUE,FALSE,Closed,4
SR300001865,JIO10059843,Gujarat,GJ,Wireless,Service,Plan change request,MyJio app,2026-08-11 00:00:00,4,1.5,2026-08-12 12:00:00,FALSE,TRUE,Closed,1
SR300008749,JIO10062078,Bihar & Jharkhand,BH,JioFiber,Provisioning,Installation delay,Call centre,2026-03-14 00:00:00,7,11.5,2026-03-25 12:00:00,TRUE,FALSE,Closed,1
SR300010822,JIO10049072,Uttar Pradesh East,UPE,Wireless,Billing,Incorrect charge,Web,2026-04-05 00:00:00,5,2.3,2026-04-07 07:12:00,FALSE,FALSE,Closed,5
SR300000681,JIO10005414,Bihar & Jharkhand,BH,Wireless,Service,Plan change request,Retail store,2026-05-26 00:00:00,4,2.5,2026-05-28 12:00:00,FALSE,FALSE,Closed,3
SR300002283,JIO10055079,Karnataka,KA,Wireless,Network,Call drop,MyJio app,2026-04-21 00:00:00,3,3.7,2026-04-24 16:48:00,TRUE,FALSE,Closed,5
SR300013784,JIO10002482,Punjab,PB,Wireless,Network,No coverage,MyJio app,2026-05-06 00:00:00,3,2.3,2026-05-08 07:12:00,FALSE,FALSE,Closed,3
SR300000173,JIO10063070,Punjab,PB,Wireless,Provisioning,Activation failure,MyJio app,2026-03-16 00:00:00,7,1.4,2026-03-17 09:36:00,FALSE,FALSE,Closed,4
SR300007469,JIO10056953,Rajasthan,RJ,Wireless,Network,Slow data,Retail store,2026-03-29 00:00:00,3,3.5,2026-04-01 12:00:00,TRUE,FALSE,Closed,2
SR300001180,JIO10003394,Karnataka,KA,Wireless,Network,Call drop,Call centre,2026-04-02 00:00:00,3,7.3,2026-04-09 07:12:00,TRUE,FALSE,Closed,2
SR300005973,JIO10042169,Rajasthan,RJ,Wireless,Billing,Incorrect charge,Retail store,2026-08-03 00:00:00,5,2.4,2026-08-05 09:36:00,FALSE,TRUE,Closed,4
SR300005464,JIO10063265,Madhya Pradesh & Chhattisgarh,MP,Wireless,Service,Value added service,WhatsApp,2026-03-26 00:00:00,4,1.6,2026-03-27 14:24:00,FALSE,FALSE,Closed,5
SR300008831,JIO10045251,Karnataka,KA,Wireless,Network,Call drop,MyJio app,2026-05-05 00:00:00,3,5.1,2026-05-10 02:24:00,TRUE,FALSE,Closed,5
SR300013250,JIO10038832,Uttar Pradesh West,UPW,Wireless,Provisioning,Activation failure,MyJio app,2026-05-20 00:00:00,7,8.3,2026-05-28 07:12:00,TRUE,FALSE,Closed,2
SR300003842,JIO10019464,Bihar & Jharkhand,BH,Wireless,Network,Slow data,MyJio app,2026-08-13 00:00:00,3,7.7,2026-08-20 16:48:00,TRUE,FALSE,Closed,3
SR300011299,JIO10055254,Maharashtra & Goa,MH,JioAirFiber,Provisioning,Relocation pending,MyJio app,2026-04-12 00:00:00,7,,,TRUE,FALSE,Open,
SR300010472,JIO10019601,Bihar & Jharkhand,BH,Wireless,Network,Slow data,MyJio app,2026-04-07 00:00:00,3,4.2,2026-04-11 04:48:00,TRUE,TRUE,Closed,5
SR300010763,JIO10003645,Kolkata,KO,Wireless,Network,No coverage,Call centre,2026-06-13 00:00:00,3,2.2,2026-06-15 04:48:00,FALSE,FALSE,Closed,2
SR300000902,JIO10048263,Uttar Pradesh East,UPE,Wireless,Provisioning,Activation failure,Call centre,2026-06-27 00:00:00,7,7.1,2026-07-04 02:24:00,TRUE,FALSE,Closed,3
SR300008818,JIO10052818,Karnataka,KA,Wireless,Billing,Plan mismatch,Call centre,2026-08-11 00:00:00,5,3.1,2026-08-14 02:24:00,FALSE,FALSE,Closed,4
SR300001702,JIO10022671,Madhya Pradesh & Chhattisgarh,MP,Wireless,Billing,Incorrect charge,Call centre,2026-05-20 00:00:00,5,4.6,2026-05-24 14:24:00,FALSE,FALSE,Closed,5
SR300007480,JIO10056065,Karnataka,KA,Wireless,Network,Call drop,MyJio app,2026-04-23 00:00:00,3,3.6,2026-04-26 14:24:00,TRUE,FALSE,Closed,4
SR300007819,JIO10011661,Gujarat,GJ,JioAirFiber,Provisioning,Engineer no-show,Call centre,2026-07-08 00:00:00,7,4.8,2026-07-12 19:12:00,FALSE,FALSE,Closed,1
SR300010018,JIO10060327,Maharashtra & Goa,MH,Wireless,Billing,Refund pending,WhatsApp,2026-03-26 00:00:00,5,1.7,2026-03-27 16:48:00,FALSE,FALSE,Closed,4
SR300008547,JIO10041545,Karnataka,KA,Wireless,Billing,Plan mismatch,MyJio app,2026-03-14 00:00:00,5,4.5,2026-03-18 12:00:00,FALSE,FALSE,Closed,3
SR300003415,JIO10006142,Mumbai,MU,Wireless,Service,Port-out enquiry,MyJio app,2026-08-15 00:00:00,4,1.8,2026-08-16 19:12:00,FALSE,FALSE,Closed,2
SR300000464,JIO10014366,West Bengal,WB,Wireless,Service,Plan change request,Retail store,2026-05-30 00:00:00,4,,,TRUE,FALSE,Open,
SR300001842,JIO10058279,Assam,AS,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-07-15 00:00:00,7,,,TRUE,FALSE,Open,
SR300005192,JIO10035559,Karnataka,KA,Wireless,Provisioning,Activation failure,Call centre,2026-07-30 00:00:00,7,2.1,2026-08-01 02:24:00,FALSE,FALSE,Closed,3
SR300011241,JIO10045605,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,5G not available,Web,2026-08-11 00:00:00,3,2.4,2026-08-13 09:36:00,FALSE,FALSE,Closed,4
SR300001423,JIO10028423,Haryana,HR,Wireless,Billing,Recharge not credited,Call centre,2026-08-25 00:00:00,5,2.7,2026-08-27 16:48:00,FALSE,FALSE,Closed,3
SR300001599,JIO10041151,Tamil Nadu,TN,Wireless,Service,Port-out enquiry,Web,2026-06-21 00:00:00,4,6.4,2026-06-27 09:36:00,TRUE,TRUE,Closed,1
SR300002355,JIO10036960,Uttar Pradesh West,UPW,Wireless,Device,eSIM activation,MyJio app,2026-05-06 00:00:00,4,2,2026-05-08 00:00:00,FALSE,FALSE,Closed,2
SR300006081,JIO10000211,Tamil Nadu,TN,Wireless,Billing,Recharge not credited,MyJio app,2026-05-19 00:00:00,5,2.3,2026-05-21 07:12:00,FALSE,FALSE,Closed,1
SR300002732,JIO10023723,Jammu & Kashmir,JK,Wireless,Billing,Refund pending,Call centre,2026-07-03 00:00:00,5,7.8,2026-07-10 19:12:00,TRUE,FALSE,Closed,1
