site_id,circle,circle_code,zone,pin_code,technology,subscribers_served,prb_utilisation_pct,avg_sinr_db,drop_call_rate_pct,avg_throughput_mbps,congestion_flag,backhaul
SITE0400387,Delhi NCR,DL,North,566807,4G LTE,26221,29.3,21.2,0.29,84.9,FALSE,Fibre
SITE0401958,Andhra Pradesh & Telangana,AP,South,127390,4G LTE,12263,34.4,11.1,0.18,120.6,FALSE,Fibre
SITE0400427,Uttar Pradesh East,UPE,North,432810,5G SA,38153,51.7,11.2,0.49,27.8,FALSE,Fibre
SITE0401910,Odisha,OR,East,189134,4G LTE,32045,31.1,11.6,0.52,95.9,FALSE,Fibre
SITE0402381,West Bengal,WB,East,582727,4G LTE,10631,78.3,6.6,0.28,31.6,TRUE,Fibre
SITE0401540,Mumbai,MU,West,486779,5G NSA,39454,12.6,15.2,1.02,109.1,FALSE,Microwave
SITE0400048,Karnataka,KA,South,589367,5G SA,25646,41.9,10.5,0.14,64.6,FALSE,Fibre
SITE0402892,Andhra Pradesh & Telangana,AP,South,575434,4G LTE,3437,51.6,17.4,0.62,58.6,FALSE,Fibre
SITE0400992,Andhra Pradesh & Telangana,AP,South,762103,4G LTE,27379,23.4,14,0.73,84.1,FALSE,Microwave
SITE0402950,West Bengal,WB,East,303415,5G NSA,39324,45.1,10,0.88,83.4,FALSE,Fibre
SITE0401926,West Bengal,WB,East,675164,5G SA,30492,33.8,20,1.07,108.4,FALSE,Microwave
SITE0402091,Himachal Pradesh,HP,North,329527,4G LTE,19976,41.6,8.9,0.55,36.3,FALSE,Fibre
SITE0401536,Madhya Pradesh & Chhattisgarh,MP,North,151317,5G SA,11611,21.8,11.8,1.12,63.7,FALSE,Fibre
SITE0402143,Gujarat,GJ,West,778003,5G SA,42101,67.8,9.3,0.54,38.5,FALSE,Microwave
SITE0401840,Bihar & Jharkhand,BH,East,706045,5G SA,37732,57,13.5,0.81,93.7,FALSE,Fibre
SITE0400649,Maharashtra & Goa,MH,West,594180,4G LTE,20213,25.5,16.2,0.2,129.6,FALSE,Fibre
SITE0401902,Tamil Nadu,TN,South,278526,4G LTE,35099,12.6,10.3,0.47,67.4,FALSE,Fibre
SITE0403638,Delhi NCR,DL,North,250276,5G SA,37797,52.1,12.8,1.18,85.4,FALSE,Microwave
SITE0401948,Assam,AS,East,644503,4G LTE,26482,21.4,15.5,1.05,141.5,FALSE,Fibre
SITE0403214,Tamil Nadu,TN,South,398911,5G SA,24669,19.2,20.9,0.07,97.9,FALSE,Fibre
SITE0400085,Mumbai,MU,West,678589,5G SA,21321,36.1,17.5,0.26,26.5,FALSE,Fibre
SITE0400491,Uttar Pradesh West,UPW,North,134973,4G LTE,34233,24.7,19.1,0.46,64.4,FALSE,Fibre
SITE0401219,West Bengal,WB,East,390204,5G NSA,9778,54.3,7.4,0.63,59.1,FALSE,Microwave
SITE0401885,Kerala,KL,South,703535,5G SA,32197,5.5,8.6,0.61,69,FALSE,Microwave
SITE0401793,Karnataka,KA,South,264719,4G LTE,11252,68.1,4.6,0.57,43.9,FALSE,Fibre
SITE0400963,Uttar Pradesh East,UPE,North,613932,5G NSA,10819,68.2,15.1,0.98,63.4,FALSE,Microwave
SITE0400118,Punjab,PB,North,811005,5G SA,16547,41.4,9.5,0.35,107.8,FALSE,Fibre
SITE0402525,Punjab,PB,North,832750,4G LTE,25366,35.2,5.6,0.09,56.2,FALSE,Microwave
SITE0402379,Uttar Pradesh West,UPW,North,774072,4G LTE,21946,37.2,6,0.57,100.5,FALSE,Fibre
SITE0402968,Karnataka,KA,South,554705,4G LTE,17639,39.4,7.2,0.05,95.7,FALSE,Fibre
SITE0400742,Bihar & Jharkhand,BH,East,685062,5G SA,27317,99,13.8,0.6,83.3,TRUE,Microwave
SITE0403035,Tamil Nadu,TN,South,818222,5G SA,38508,51.5,7.9,0.24,69.8,FALSE,Fibre
SITE0401313,Bihar & Jharkhand,BH,East,801768,5G SA,33445,52,11.3,0.91,19.2,FALSE,Fibre
SITE0401780,Rajasthan,RJ,North,158740,5G SA,22583,61.2,5.6,0.23,103.8,FALSE,Fibre
SITE0400246,Karnataka,KA,South,773844,5G NSA,37138,52.6,13,0.45,67.9,FALSE,Fibre
SITE0402036,West Bengal,WB,East,476764,5G SA,22169,82,2.1,0.41,110.1,TRUE,Fibre
SITE0403242,Bihar & Jharkhand,BH,East,649376,4G LTE,6687,41.2,12.7,0.7,48.3,FALSE,Fibre
SITE0400102,Karnataka,KA,South,228954,5G SA,30123,24,11.5,0.19,2.6,FALSE,Microwave
SITE0402392,Maharashtra & Goa,MH,West,774618,4G LTE,39616,49.8,12.5,0.24,80.6,FALSE,Fibre
SITE0401846,Haryana,HR,North,508687,4G LTE,26149,40.4,7.6,0.59,61.9,FALSE,Microwave
SITE0402481,Bihar & Jharkhand,BH,East,788885,5G NSA,17492,9.3,19.8,1.3,174.1,FALSE,Microwave
SITE0401177,Uttar Pradesh West,UPW,North,170514,5G NSA,24627,62,7.2,1.94,75.4,FALSE,Fibre
SITE0402329,Bihar & Jharkhand,BH,East,520284,5G NSA,15737,81.1,9.2,0.17,137.2,TRUE,Fibre
SITE0403467,Delhi NCR,DL,North,287242,5G NSA,34623,24.4,9.9,0.78,37.5,FALSE,Fibre
SITE0402575,Maharashtra & Goa,MH,West,740217,5G SA,17168,29.1,12.4,0.08,69.8,FALSE,Microwave
SITE0401446,Kerala,KL,South,791329,5G SA,19835,39.8,3.4,0.13,91.9,FALSE,Fibre
SITE0401777,Maharashtra & Goa,MH,West,309502,5G SA,25369,52.4,8,0.87,58.2,FALSE,Fibre
SITE0403532,Tamil Nadu,TN,South,452967,4G LTE,20360,22.3,7.1,0.3,67.4,FALSE,Fibre
SITE0402616,Madhya Pradesh & Chhattisgarh,MP,North,180195,5G SA,35569,72.2,10.3,1.08,18.7,FALSE,Fibre
SITE0401719,Haryana,HR,North,677966,5G NSA,14715,16.3,2.3,1.49,112,FALSE,Fibre
SITE0402579,Gujarat,GJ,West,494771,4G LTE,19539,68.2,2.2,0.73,45.4,FALSE,Fibre
SITE0402803,Maharashtra & Goa,MH,West,254390,5G NSA,20763,25.6,13.2,0.19,43.6,FALSE,Fibre
SITE0401147,West Bengal,WB,East,734267,4G LTE,17110,19.5,11.6,1.44,118.6,FALSE,Fibre
SITE0403377,Madhya Pradesh & Chhattisgarh,MP,North,407459,5G NSA,10744,96.8,3,0.4,56.6,TRUE,Fibre
SITE0403662,West Bengal,WB,East,197933,5G NSA,22544,53.3,10.9,0.51,136.9,FALSE,Fibre
SITE0400637,Gujarat,GJ,West,622556,4G LTE,39799,55,2,0.73,42.5,FALSE,Fibre
SITE0403720,Odisha,OR,East,750202,4G LTE,2737,28.5,12.2,0.19,68.3,FALSE,Fibre
SITE0403512,Uttar Pradesh West,UPW,North,440023,4G LTE,11776,44,17,0.33,62.6,FALSE,Fibre
SITE0400267,Madhya Pradesh & Chhattisgarh,MP,North,243066,4G LTE,32557,40.4,11.9,0.2,77.6,FALSE,Fibre
SITE0402321,Tamil Nadu,TN,South,414341,5G NSA,16328,54.5,10.5,0.07,69.5,FALSE,Fibre
SITE0401089,Andhra Pradesh & Telangana,AP,South,303313,5G SA,7728,15.4,1,0.19,179.4,FALSE,Microwave
SITE0401774,West Bengal,WB,East,597783,4G LTE,27889,48,5.5,0.2,35.5,FALSE,Fibre
SITE0403661,Maharashtra & Goa,MH,West,589632,5G SA,22392,36.6,15,0.15,114.1,FALSE,Fibre
SITE0400875,Odisha,OR,East,571501,4G LTE,25075,44.6,8.9,1.31,31.7,FALSE,Fibre
SITE0403645,Punjab,PB,North,704532,5G NSA,8172,41.3,16.4,1.17,86.4,FALSE,Fibre
SITE0403497,Bihar & Jharkhand,BH,East,475191,5G NSA,7576,80.5,3.7,0.24,69.1,TRUE,Fibre
SITE0400418,Maharashtra & Goa,MH,West,306384,4G LTE,41760,42.9,4.5,0.29,56.5,FALSE,Microwave
SITE0402831,Rajasthan,RJ,North,317688,4G LTE,21615,61.3,6.2,0.49,75.9,FALSE,Microwave
SITE0401919,Kerala,KL,South,531586,4G LTE,25345,27.1,9.5,0.98,107,FALSE,Microwave
SITE0401033,Bihar & Jharkhand,BH,East,444427,4G LTE,10312,74.4,2.3,0.73,37,TRUE,Fibre
SITE0401527,Maharashtra & Goa,MH,West,324902,4G LTE,12606,20.8,0.7,0.29,74.5,FALSE,Fibre
SITE0400489,Odisha,OR,East,283392,4G LTE,8172,43.1,5.1,0.73,144.7,FALSE,Fibre
SITE0401474,Mumbai,MU,West,733805,4G LTE,22748,56.3,12.2,0.13,94.5,FALSE,Fibre
SITE0400714,Tamil Nadu,TN,South,534610,5G SA,29987,27.3,4.9,0.78,111.8,FALSE,Fibre
SITE0400942,Uttar Pradesh West,UPW,North,642476,5G SA,25263,78,13.9,0.87,92.6,TRUE,Microwave
SITE0401155,Maharashtra & Goa,MH,West,843746,5G NSA,8444,36.2,12.5,0.24,66.3,FALSE,Fibre
SITE0402630,Rajasthan,RJ,North,412096,4G LTE,2519,35.8,5.1,0.29,109.8,FALSE,Microwave
SITE0400206,Tamil Nadu,TN,South,656317,4G LTE,36929,57.3,4,0.66,111.2,FALSE,Fibre
SITE0401014,Haryana,HR,North,738376,5G SA,39744,19.1,13.5,0.98,60.3,FALSE,Fibre
SITE0402132,Tamil Nadu,TN,South,199742,5G NSA,4636,47.8,11.8,0.1,51.7,FALSE,Fibre
SITE0403238,West Bengal,WB,East,654960,4G LTE,29648,28.1,8.6,0.6,94.4,FALSE,Fibre
SITE0401139,Bihar & Jharkhand,BH,East,597119,4G LTE,15607,87.3,13.1,0.48,51.6,TRUE,Microwave
SITE0401441,Bihar & Jharkhand,BH,East,393693,5G NSA,11232,81.7,10.5,1.82,117.2,TRUE,Microwave
SITE0402943,Rajasthan,RJ,North,850477,4G LTE,33943,26.2,17.1,0.31,26.3,FALSE,Microwave
SITE0402465,Gujarat,GJ,West,292396,5G NSA,13338,15.6,7.5,1.12,133,FALSE,Microwave
SITE0400071,Andhra Pradesh & Telangana,AP,South,321685,5G NSA,32496,19.8,13.8,1.14,76.1,FALSE,Fibre
SITE0402362,Jammu & Kashmir,JK,North,762215,4G LTE,9222,55.9,4.6,0.16,54.4,FALSE,Microwave
SITE0402370,Andhra Pradesh & Telangana,AP,South,494435,5G NSA,42135,26.5,9.7,0.66,106.4,FALSE,Fibre
SITE0401473,Assam,AS,East,525423,5G SA,2688,45.8,8.4,0.41,13.1,FALSE,Microwave
SITE0400982,Uttar Pradesh East,UPE,North,814250,4G LTE,34915,46.2,-1,0.66,86.6,FALSE,Fibre
SITE0402243,Punjab,PB,North,153348,5G SA,21267,40.7,12.6,0.26,16.1,FALSE,Fibre
SITE0402278,Haryana,HR,North,825185,5G NSA,7397,35.7,9.5,1.1,128.8,FALSE,Fibre
SITE0400827,Haryana,HR,North,374321,5G SA,36321,15.1,6.9,0.46,138.6,FALSE,Fibre
SITE0400691,Gujarat,GJ,West,592411,5G SA,20991,36,13.5,0.33,38.6,FALSE,Fibre
SITE0401513,Gujarat,GJ,West,592660,4G LTE,37459,44.2,15.7,0.02,94.2,FALSE,Microwave
SITE0401470,Kolkata,KO,East,821014,5G NSA,30275,22.1,17.8,0.4,89.4,FALSE,Microwave
SITE0400785,Andhra Pradesh & Telangana,AP,South,517110,5G SA,27792,42.1,13.2,0.39,59.1,FALSE,Fibre
SITE0401890,Rajasthan,RJ,North,266075,4G LTE,29306,65.5,4.8,0.21,49.9,FALSE,Fibre
SITE0402137,Bihar & Jharkhand,BH,East,434470,4G LTE,2177,51,11.3,0.43,105.9,FALSE,Fibre
SITE0400199,Karnataka,KA,South,655339,5G NSA,18370,8.7,11.6,0.62,131.9,FALSE,Microwave
SITE0402506,Madhya Pradesh & Chhattisgarh,MP,North,555366,5G SA,29291,41.6,16.6,1,154.2,FALSE,Fibre
SITE0400494,Tamil Nadu,TN,South,471923,4G LTE,10388,39.8,16.2,0.39,121.4,FALSE,Fibre
SITE0402386,Tamil Nadu,TN,South,156691,4G LTE,29671,25.6,16.1,0.46,104,FALSE,Fibre
SITE0400350,Madhya Pradesh & Chhattisgarh,MP,North,807189,4G LTE,30052,20.8,11.2,0.51,59.3,FALSE,Fibre
SITE0400659,Bihar & Jharkhand,BH,East,580921,4G LTE,6671,19.1,12.8,0.35,61.4,FALSE,Fibre
SITE0400607,Madhya Pradesh & Chhattisgarh,MP,North,634310,4G LTE,15794,59.9,10.8,1.99,86.7,FALSE,Fibre
SITE0401357,Andhra Pradesh & Telangana,AP,South,768444,5G NSA,25228,24.6,16.2,0.81,59.7,FALSE,Fibre
SITE0400291,Tamil Nadu,TN,South,448349,5G SA,28603,74.7,14.2,0.68,20.4,TRUE,Fibre
SITE0400654,Tamil Nadu,TN,South,322804,5G NSA,5622,45,4.7,0.28,58.5,FALSE,Fibre
SITE0403602,Karnataka,KA,South,491740,5G SA,16726,28.6,11.6,0.48,99.6,FALSE,Fibre
SITE0400121,West Bengal,WB,East,332298,5G SA,7090,37.1,13.6,1.45,84,FALSE,Microwave
SITE0402508,Gujarat,GJ,West,370890,5G SA,31503,4,9.3,0.96,56.1,FALSE,Fibre
SITE0403223,Uttar Pradesh West,UPW,North,777241,5G NSA,12236,18.5,11.8,0.35,102.8,FALSE,Fibre
SITE0400116,Jammu & Kashmir,JK,North,811442,4G LTE,39997,31.7,6,0.09,16.5,FALSE,Fibre
SITE0400356,Bihar & Jharkhand,BH,East,239628,5G NSA,28301,59.4,14.9,0.41,82.8,FALSE,Microwave
SITE0403247,Punjab,PB,North,307516,4G LTE,5792,58,10.3,0.33,37.9,FALSE,Fibre
SITE0402034,Uttar Pradesh East,UPE,North,280210,5G SA,25391,87.4,6.1,1.66,1.5,TRUE,Microwave
SITE0402491,Jammu & Kashmir,JK,North,282108,4G LTE,21084,32.2,10.9,0.31,108.2,FALSE,Fibre
SITE0400511,Uttar Pradesh West,UPW,North,481709,4G LTE,39203,62.3,8.6,0.45,85.9,FALSE,Fibre
SITE0403757,Uttar Pradesh West,UPW,North,495569,4G LTE,33037,39.5,6.1,0.56,35.8,FALSE,Fibre
SITE0402250,Maharashtra & Goa,MH,West,705690,4G LTE,6381,42,12.5,0.48,28.3,FALSE,Fibre
SITE0400568,Delhi NCR,DL,North,136382,4G LTE,3544,36.4,5.7,0.19,109.1,FALSE,Fibre
SITE0403264,Bihar & Jharkhand,BH,East,801711,4G LTE,1957,94.1,9.1,0.65,55.9,TRUE,Fibre
SITE0400969,Maharashtra & Goa,MH,West,747826,4G LTE,40683,39.4,18.5,0.3,57.7,FALSE,Microwave
SITE0403617,Karnataka,KA,South,257309,4G LTE,33511,20.1,13.3,0.84,73.3,FALSE,Microwave
SITE0400836,Haryana,HR,North,611012,5G SA,38759,65,2.1,0.03,26.3,FALSE,Fibre
SITE0400493,Maharashtra & Goa,MH,West,336431,4G LTE,8371,25.9,10.5,0.66,70.8,FALSE,Fibre
SITE0403434,Karnataka,KA,South,238451,5G NSA,32595,41.2,15.1,0.11,123.2,FALSE,Fibre
SITE0401648,Uttar Pradesh West,UPW,North,215500,5G SA,33601,38.1,10.9,0.47,37.6,FALSE,Fibre
SITE0401547,Kerala,KL,South,595420,4G LTE,37132,23.8,13,0.9,130.8,FALSE,Fibre
SITE0403154,Madhya Pradesh & Chhattisgarh,MP,North,213337,5G NSA,36985,89.2,3.7,0.58,67.1,TRUE,Fibre
SITE0400300,Bihar & Jharkhand,BH,East,381886,5G SA,40148,57.1,0.6,1.33,30.6,FALSE,Fibre
SITE0403024,Uttar Pradesh East,UPE,North,422428,5G SA,18326,72.9,11.1,0.01,64.4,FALSE,Microwave
SITE0401694,Rajasthan,RJ,North,573101,5G SA,41854,59.7,1.6,0.27,73.8,FALSE,Fibre
SITE0402499,Uttar Pradesh East,UPE,North,274436,5G SA,38047,21.9,13.8,0.04,119.7,FALSE,Fibre
SITE0402163,Karnataka,KA,South,687012,5G SA,40328,44.7,17.9,0.79,79.8,FALSE,Fibre
SITE0403809,Maharashtra & Goa,MH,West,412215,4G LTE,5938,20,5.2,0.75,187.6,FALSE,Microwave
SITE0400734,Madhya Pradesh & Chhattisgarh,MP,North,641275,5G SA,30590,52.7,14.1,0.95,65.3,FALSE,Fibre
SITE0401209,Punjab,PB,North,538256,5G SA,7709,42,8.9,0.87,42.3,FALSE,Microwave
SITE0403089,Delhi NCR,DL,North,762710,4G LTE,14576,24.1,20.4,0.44,84.5,FALSE,Fibre
SITE0402537,Bihar & Jharkhand,BH,East,851263,5G SA,28863,41.3,7.6,0.57,84.7,FALSE,Fibre
SITE0402158,Madhya Pradesh & Chhattisgarh,MP,North,658932,4G LTE,40747,76.7,3.2,2.82,52.6,TRUE,Fibre
SITE0400914,Maharashtra & Goa,MH,West,537113,5G SA,37976,5.8,8.5,1.05,103.7,FALSE,Fibre
SITE0402908,Karnataka,KA,South,705651,4G LTE,29086,17.9,10.7,0.09,162.8,FALSE,Fibre
SITE0402007,Karnataka,KA,South,171893,5G SA,2568,17.5,13.5,0.85,60.8,FALSE,Fibre
SITE0401707,Kerala,KL,South,700961,4G LTE,8049,31.1,11.4,0.39,105.7,FALSE,Fibre
SITE0402312,Rajasthan,RJ,North,801976,5G SA,3193,58.7,8.4,0.72,96.8,FALSE,Fibre
SITE0402279,Odisha,OR,East,131166,5G SA,3592,51.8,13.5,0.78,9.8,FALSE,Fibre
SITE0402463,Maharashtra & Goa,MH,West,598552,5G SA,21096,77.3,8.6,0.71,60,TRUE,Fibre
SITE0401201,Maharashtra & Goa,MH,West,694669,5G SA,30403,61.1,10.3,0.38,25.7,FALSE,Fibre
SITE0401184,Jammu & Kashmir,JK,North,638687,5G NSA,22421,54.5,9.8,0.25,30.2,FALSE,Microwave
SITE0402445,Delhi NCR,DL,North,714307,5G NSA,22159,45,4.5,0.12,114.1,FALSE,Fibre
SITE0402089,Odisha,OR,East,830560,4G LTE,9819,37.6,17.9,0.28,85,FALSE,Fibre
SITE0402792,Andhra Pradesh & Telangana,AP,South,113262,5G NSA,17554,31.1,13,0.25,117.9,FALSE,Fibre
SITE0402023,Andhra Pradesh & Telangana,AP,South,358465,5G SA,37098,37.9,6.6,0.46,66.5,FALSE,Fibre
SITE0403711,Uttar Pradesh West,UPW,North,704531,4G LTE,14200,80.5,9.4,0.5,38.8,TRUE,Fibre
SITE0402590,Andhra Pradesh & Telangana,AP,South,832401,4G LTE,38795,40,7.2,0.61,79.6,FALSE,Fibre
SITE0402707,Uttar Pradesh East,UPE,North,580367,4G LTE,9564,62,13.7,0.87,6.5,FALSE,Fibre
SITE0403283,Andhra Pradesh & Telangana,AP,South,807426,4G LTE,26363,42.8,14.2,0.37,59.9,FALSE,Fibre
SITE0401816,Maharashtra & Goa,MH,West,326284,4G LTE,33308,59.8,13.5,0.76,138.9,FALSE,Fibre
SITE0400161,Himachal Pradesh,HP,North,787757,5G NSA,5788,63.4,-5,0.59,68.6,FALSE,Microwave
SITE0402953,Odisha,OR,East,806156,4G LTE,12532,55.4,10.1,0.76,72.4,FALSE,Fibre
SITE0403502,Maharashtra & Goa,MH,West,494384,5G SA,36901,40.6,13.8,0.87,190.6,FALSE,Fibre
SITE0401715,Uttar Pradesh West,UPW,North,172965,5G SA,12261,52.1,3.3,1.78,101,FALSE,Fibre
SITE0400614,Madhya Pradesh & Chhattisgarh,MP,North,529002,4G LTE,39104,33.8,11.6,0.8,37.8,FALSE,Fibre
SITE0400636,Rajasthan,RJ,North,406662,4G LTE,26123,49.1,12.7,0.15,28.2,FALSE,Fibre
SITE0400178,Uttar Pradesh West,UPW,North,129267,5G SA,33241,32.3,18.1,0.37,66.7,FALSE,Fibre
SITE0402752,Odisha,OR,East,193546,5G SA,36005,33,15.9,1.15,76.3,FALSE,Fibre
SITE0400661,Haryana,HR,North,282292,4G LTE,29738,53.5,3.1,0.34,106.3,FALSE,Microwave
SITE0400166,Uttar Pradesh East,UPE,North,596636,4G LTE,4991,65.1,1.9,1.15,111.1,FALSE,Fibre
SITE0403639,Kerala,KL,South,375324,4G LTE,19907,48.6,18.2,0.42,46.5,FALSE,Fibre
SITE0400668,Tamil Nadu,TN,South,808940,4G LTE,2554,25.8,16.7,0.34,110.8,FALSE,Fibre
SITE0401336,West Bengal,WB,East,216852,4G LTE,34796,70,12.9,0.41,124.3,FALSE,Fibre
SITE0400273,Haryana,HR,North,582579,5G NSA,31063,66.1,11.5,0.31,45.9,FALSE,Microwave
SITE0403660,Tamil Nadu,TN,South,401709,4G LTE,37701,42.6,10.1,0.46,47,FALSE,Fibre
SITE0401756,Punjab,PB,North,644855,4G LTE,25111,42.2,10.1,1.65,57.8,FALSE,Fibre
SITE0401709,Uttar Pradesh East,UPE,North,178362,4G LTE,14246,47.2,16.8,0.4,109.5,FALSE,Fibre
SITE0402028,Tamil Nadu,TN,South,330767,5G NSA,29084,25.6,15.1,0.45,29.1,FALSE,Fibre
SITE0402319,Uttar Pradesh West,UPW,North,320465,4G LTE,12023,27.1,11,0.34,113.6,FALSE,Microwave
SITE0401133,Kolkata,KO,East,272545,5G SA,15065,54.7,7.9,0.02,109.2,FALSE,Microwave
SITE0402629,Madhya Pradesh & Chhattisgarh,MP,North,703449,5G SA,13164,84.7,6.8,1.38,60.8,TRUE,Fibre
SITE0403314,Gujarat,GJ,West,840386,5G NSA,2111,36.6,15.3,0.23,21.4,FALSE,Microwave
SITE0403486,Madhya Pradesh & Chhattisgarh,MP,North,470904,4G LTE,20598,99,8.5,0.09,99.7,TRUE,Fibre
SITE0400696,Rajasthan,RJ,North,190811,4G LTE,18262,62.1,5.6,0.28,15.6,FALSE,Fibre
SITE0403658,Bihar & Jharkhand,BH,East,743923,4G LTE,4751,80.1,6.6,0.51,63.4,TRUE,Fibre
SITE0402106,Himachal Pradesh,HP,North,270053,5G SA,24131,61.6,9.1,0.56,100.1,FALSE,Fibre
SITE0400975,Karnataka,KA,South,139570,5G SA,18364,10.3,23.2,0.09,81.4,FALSE,Fibre
SITE0400301,Uttar Pradesh West,UPW,North,852691,5G SA,24630,52.8,15.6,0.82,83.5,FALSE,Fibre
SITE0401523,Madhya Pradesh & Chhattisgarh,MP,North,663110,5G NSA,9580,19.6,10,1.71,72.9,FALSE,Fibre
SITE0403551,Maharashtra & Goa,MH,West,396827,5G NSA,13411,26.5,15.3,0.11,89.8,FALSE,Fibre
SITE0400580,Uttar Pradesh East,UPE,North,367740,4G LTE,14671,61.1,14.9,0.59,85.1,FALSE,Fibre
SITE0401744,Rajasthan,RJ,North,659664,5G SA,40361,43.7,9.3,1.98,129.9,FALSE,Fibre
SITE0401803,Maharashtra & Goa,MH,West,203691,5G NSA,16838,36.8,2,0.23,15.4,FALSE,Fibre
SITE0400186,Kerala,KL,South,777538,4G LTE,29959,26.1,10.6,0.76,75.1,FALSE,Microwave
SITE0403143,Bihar & Jharkhand,BH,East,700247,4G LTE,15240,29.1,11.7,1.04,107.1,FALSE,Fibre
SITE0402480,Rajasthan,RJ,North,559788,4G LTE,33510,48.1,8,1.23,76.3,FALSE,Fibre
SITE0401916,Maharashtra & Goa,MH,West,219179,5G NSA,37512,36.8,10.7,0.54,96.5,FALSE,Fibre
SITE0403021,Odisha,OR,East,356069,5G SA,11144,70,9.5,0.17,67.9,FALSE,Microwave
SITE0401331,Odisha,OR,East,608299,5G SA,23873,50.2,9.8,0.74,63.7,FALSE,Fibre
SITE0403222,Gujarat,GJ,West,113493,5G SA,16357,31.4,8.7,0.12,44.1,FALSE,Fibre
SITE0400462,Madhya Pradesh & Chhattisgarh,MP,North,151753,5G SA,13648,67,4.8,1.55,67.5,FALSE,Microwave
SITE0401153,Rajasthan,RJ,North,849226,4G LTE,23501,25.6,5.8,0.54,76.2,FALSE,Fibre
SITE0401266,Bihar & Jharkhand,BH,East,699750,4G LTE,34731,39.3,13.8,0.34,63.8,FALSE,Fibre
SITE0403324,West Bengal,WB,East,367867,4G LTE,15657,42.8,6.3,0.28,64.8,FALSE,Fibre
SITE0400490,Bihar & Jharkhand,BH,East,724650,5G SA,23329,78.6,7.9,0.51,102.5,TRUE,Fibre
SITE0401918,Haryana,HR,North,623522,5G NSA,24437,32.8,10.2,0.46,69.7,FALSE,Microwave
SITE0400039,Tamil Nadu,TN,South,386395,5G SA,10032,47.5,7.3,0.11,86.3,FALSE,Fibre
SITE0401291,Mumbai,MU,West,437723,5G SA,26408,35.7,5.5,0.1,104.6,FALSE,Microwave
SITE0400358,North East,NE,East,153480,5G SA,26699,51.5,12.1,0.37,1.5,FALSE,Microwave
SITE0401859,Uttar Pradesh West,UPW,North,167700,5G SA,28127,41.7,3.3,1.56,91.8,FALSE,Microwave
SITE0402363,Uttar Pradesh West,UPW,North,695509,5G NSA,13695,98.4,6.1,0.07,93.5,TRUE,Microwave
SITE0403193,Uttar Pradesh East,UPE,North,843274,5G NSA,34972,43.6,12,0.36,65.9,FALSE,Fibre
SITE0401053,Odisha,OR,East,189248,4G LTE,11038,21.2,15.5,0.95,45.5,FALSE,Fibre
SITE0401616,West Bengal,WB,East,637622,5G NSA,7851,59.5,7.3,1.12,122.4,FALSE,Fibre
SITE0401643,Uttar Pradesh East,UPE,North,358139,4G LTE,32478,48.2,12.1,1.61,26.3,FALSE,Microwave
SITE0403736,Haryana,HR,North,152661,5G SA,2734,46.7,10.5,0.55,59.2,FALSE,Fibre
SITE0403692,Kolkata,KO,East,697214,4G LTE,21156,13.5,13.8,0.16,118.1,FALSE,Fibre
SITE0402425,West Bengal,WB,East,495584,5G NSA,3588,78.2,5.6,0.6,79.8,TRUE,Fibre
